fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
1q2rb2/3b1r1k/p1p4p/B3p1p1/1PPpN3/3P1P1P/3QR1P1/4R1K1 w - - 0 1,0.42,2.03,1.61,0.0,mid,opening,val
1r1r3k/p4pp1/3nb2p/2p1q3/8/P1PBPP2/2Q3PP/R1B2RK1 b - - 0 1,-0.81,-0.423,0.387,0.0,attack,opening,val
1r4k1/p3pr1p/1qbp1pp1/2p5/2P5/1PN1Q2P/P2R1PP1/3R3K b - - 0 1,0.61,0.236,-0.374,0.0,mid,midgame,val
2r1n1k1/1p1R1r1p/2q1pp1B/p5p1/6P1/Q1P4P/PP6/1K1R4 b - - 0 1,0.28,-5.112,-3.952,1.44,quiet_neg,midgame,train
2r2r1k/1bqnbppp/p3p3/1p1pP3/3B1P2/P1NB4/1PP2QPP/R4R1K w - - 0 1,-0.03,0.616,0.646,0.0,quiet_neg,opening,train
2r5/1r2nkp1/p3p2p/1p1b1p1P/8/PP3P2/1KPRB1P1/R5B1 w - - 0 1,0.08,-0.125,-0.205,0.0,quiet_neg,endgame,train
3b2rk/5pp1/2q2n1p/1p2BP2/7P/2NQ4/1PP5/1K4R1 b - - 0 1,-0.34,1.577,1.917,0.0,mid,midgame,val
3r2k1/1p2bpp1/pNrppnqp/8/1PPBP3/P4Q1P/5PP1/3RR1K1 w - - 0 1,-0.08,1.071,1.151,0.0,quiet_neg,opening,train
3rr1k1/1q2bp1p/2b3pB/3npP2/1p6/5B2/NPP3PP/3RQR1K w - - 0 1,0.64,-0.082,-0.722,0.0,mid,opening,train
4rk2/2p1rpp1/pbn3bp/1p2P3/PP6/1BP2NNP/5PP1/2R1R1K1 w - - 0 1,0.58,0.415,-0.165,0.0,mid,midgame,train
5r2/5r1k/p2pN1p1/1p1Pn2p/2q1P2b/P4pR1/1PPQ1B1P/1K2R3 w - - 0 1,1.51,3.179,1.669,0.0,attack,opening,train
6k1/1p1n1rbp/r2n1pp1/4p3/4P3/4B1P1/PP2N1BP/R4RK1 w - - 0 1,-0.04,0.808,0.848,0.0,quiet_neg,midgame,train
8/5p2/bk2p3/1pr1Pp2/3p4/bP3BPP/P1nBN3/1R1K4 w - - 0 1,-0.67,-0.535,0.135,0.0,mid,endgame,train
r1r3k1/3nqpp1/1pp1pn1p/p2pN3/2PP1Q2/1P4P1/P2BPPKP/2RR4 b - - 0 1,0.23,-1.496,-1.726,0.0,quiet_neg,opening,train
r3kr2/pp1b1pp1/2p1p2p/4q3/7Q/2PBPR2/PP4PP/2KR4 b q - 0 1,0.71,1.306,1.856,1.26,mid,midgame,train
r3rbk1/1qpn1pp1/p4n1p/1p2pN2/2P1P3/5N2/PPQB1PPP/R3R1K1 b - - 0 1,0.35,0.997,0.647,0.0,mid,opening,train
r4rk1/4bppp/b3pn2/1p1q2B1/3p4/3B1N2/PP2QPPP/R2R2K1 w - - 0 1,0.22,-1.074,-1.294,0.0,quiet_neg,opening,train
r5k1/5q1p/2ppNr1b/2pPp1pP/p1P3P1/P7/1PQ1RPK1/1R6 w - - 0 1,0.63,-1.67,-0.5,1.8,mid,midgame,train
2r3k1/p1q1bpp1/2p2n2/2Np3r/1P1B3p/P1Q4P/5PP1/2R1R1K1 w - - 0 1,0.1,-0.52,-0.62,0.0,quiet_neg,opening,train
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - - 0 1,2.36,3.764,3.384,1.98,attack,opening,val
1k1r4/5qp1/p1b2n1p/1p2p3/2p1P2P/P1N1P1P1/1PB1Q3/3R2K1 b - - 0 1,1.42,0.867,-0.553,0.0,attack,midgame,train
1r1q1n2/2p2ppk/p2p3p/P1b1p3/2P1P3/3P1N1P/1R1B1PP1/1Q4K1 b - - 0 1,-0.11,1.736,1.846,0.0,quiet_neg,midgame,train
1r3r2/3q2kp/p2p1pp1/2pPp3/4Pn2/P2P1N1P/2Q2PP1/1R2R1K1 w - - 0 1,0.08,1.376,1.296,0.0,quiet_neg,midgame,val
1r4r1/4kp1p/3p1p1b/2q1pP2/Bn2P3/2N5/1PPNQ1PP/1K1R4 b - - 0 1,0.16,2.226,2.066,0.0,quiet_neg,midgame,train
1rb2nk1/8/1p1PNbrp/3Pp1pq/p3Pn1P/P2N1PB1/4B3/R2Q1R1K w - - 0 1,-0.19,0.404,-0.666,-1.26,quiet_neg,opening,train
2r1r1k1/1p1q1bbp/pn3pp1/n2p4/3P1B1P/2NB1N2/PPQ1RPP1/4R1K1 w - - 0 1,0.75,2.005,1.255,0.0,attack,opening,train
2r3k1/pp3pp1/4q2p/4p3/bB2Pn2/P4P2/1P1Q2PP/2R2BK1 w - - 0 1,-2.16,-1.961,0.199,0.0,attack,midgame,val
2rq1rk1/1p2bpp1/4p3/pP1pP1np/P2P4/R3BP2/3Q2PP/1NR3K1 w - - 0 1,-0.35,0.445,0.795,0.0,mid,opening,val
3q4/pp2b1k1/2r5/4p2p/P1RpN3/1P3PP1/1Q2P1K1/8 w - - 0 1,0.08,0.483,0.403,0.0,quiet_neg,midgame,train
3r4/5pk1/4rqp1/p2p4/Pb1Q3p/1Pp1P2P/2R1BPP1/3R2K1 b - - 0 1,0.57,2.005,1.435,0.0,mid,midgame,train
4r1k1/1p5p/1r4p1/2pq1p2/P4P2/3P2Q1/1bP3RP/4R1BK b - - 0 1,1.27,0.169,-1.101,0.0,attack,midgame,train
4r3/1pn3k1/4p1b1/p1Pp3r/3P2NR/1P3B2/3K2P1/4R3 w - - 0 1,0.56,0.703,0.143,0.0,mid,endgame,train
5rk1/8/3p3p/p1qP2p1/Rrb1P3/3p1P2/1P1Q1RP1/3N2K1 w - - 0 1,-0.08,-0.335,-0.255,0.0,quiet_neg,midgame,train
6r1/4pp1k/3p3p/2qP1Pb1/r3P1PB/1R5K/4Q3/1R6 b - - 0 1,-0.68,-0.169,0.511,0.0,mid,midgame,train
8/r4p2/P1ppk3/2p4p/1rPb1BqP/RR1PpQP1/4P1K1/8 b - - 0 1,2.46,2.393,1.373,1.44,attack,midgame,train
qr4k1/3b1pp1/4p2p/n2pP3/n1pP4/Q1P2NP1/3N1P1P/1R3BK1 b - - 0 1,-0.02,0.479,0.499,0.0,quiet_neg,midgame,train
r2qr1k1/2p2pp1/3p1n2/3P1n1p/1Q3P2/1B5P/PP4PB/2R1R2K w - - 0 1,0.03,1.577,1.547,0.0,quiet_neg,opening,train
r3r1k1/6p1/p2p1qp1/1p1P3p/4P1bP/P2Q3B/1PP5/1K2R2R b - - 0 1,0.29,0.229,-0.061,0.0,quiet_neg,midgame,train
r4rk1/pp1qppbp/2n3p1/3b4/3PB2B/2P5/3N1PPP/1R1QR1K1 b - - 0 1,0.34,0.286,-0.054,0.0,mid,opening,train
1k2r3/1p1bP3/2p2p1Q/Ppb5/4Rp1P/2q2N1P/5PB1/6K1 b - - 0 1,-3.08,-6.922,-6.902,-3.06,attack,midgame,train
1r2rqk1/8/bn1p3p/B1p2p2/p1PnpP2/P3R2Q/1P3NPP/2R2BK1 b - - 0 1,2.42,2.246,1.446,1.62,attack,opening,train
2k2r1r/1b4p1/1nq1p3/1p5p/5P2/1Pp1B1KP/2B1QRP1/R7 w - - 0 1,-0.21,-1.896,-4.026,-2.34,quiet_neg,opening,train
2r1b3/p3kpp1/7p/3P4/7P/2p1KPP1/P7/1BR5 w - - 0 1,-0.08,0.274,0.354,0.0,quiet_neg,endgame,val
2r2k2/p4pp1/b3n2p/8/1pp1P2P/4NPP1/PPB3K1/3R4 w - - 0 1,-0.02,0.398,0.418,0.0,quiet_neg,endgame,train
3b4/3k1p2/4p1p1/p1rpP1Pp/R4P2/1P3K2/P2B1P2/8 b - - 0 1,0.21,-1.309,-1.519,0.0,quiet_neg,endgame,train
3r1k2/4qp1p/6p1/p3p1P1/P2nQ2P/1B1R4/5PK1/8 b - - 0 1,0.15,-4.191,-4.341,0.0,quiet_neg,midgame,train
3r2k1/1rq2p2/2bp2pP/p3p2n/4P3/1BN2P2/1PP5/R2RQK2 b - - 0 1,-1.56,-0.542,1.018,0.0,attack,opening,train
3R4/6pk/p4p1p/1r1p3P/2pP4/2P1PN2/4bPP1/6K1 w - - 0 1,0.07,0.601,0.531,0.0,quiet_neg,endgame,train
3rr3/p1k4p/1p3p1b/2p2p1n/5P2/2P1BR2/PP1N3P/1K2R3 b - - 0 1,0.43,0.34,-0.09,0.0,mid,endgame,train
4r1k1/2q1p3/2p2pp1/1p1b4/p7/P1Q3R1/1P3PP1/4R1K1 b - - 0 1,3.02,3.052,1.652,1.62,attack,midgame,val
4r3/2R1pk2/3p2pp/2bP1p2/8/1R4P1/5PK1/8 b - - 0 1,-0.09,0.156,0.246,0.0,quiet_neg,endgame,train
4rbk1/p2R1p2/2p2p1p/5p2/8/PR2p3/2P3PP/5K2 w - - 0 1,-1.17,-2.243,-1.073,0.0,attack,endgame,train
5n2/1p2r1kp/1Qp1r1p1/p3Pp2/P6P/4R1P1/1P6/5K2 w - - 0 1,-0.36,1.478,1.838,0.0,mid,endgame,val
6k1/8/p2Br1r1/2P2p1p/1P6/7P/1P1R2PK/8 w - - 0 1,0.45,3.071,2.621,0.0,mid,endgame,train
7k/1q5p/5prP/1p1pr3/1PbR1QPK/2N3P1/2P5/3R4 w - - 0 1,-0.95,-1.84,-0.71,0.18,attack,midgame,train
8/1k1r3p/pp3p1R/2pn4/4r3/N1P5/PP5P/2KR4 b - - 0 1,-0.22,-3.422,-3.202,0.0,quiet_neg,endgame,train
8/4r1n1/1k5p/1p1prp1P/1PpN2p1/p1K1P1R1/P1B3PR/8 w - - 0 1,-0.7,-1.017,-0.317,0.0,mid,endgame,train
8/pr3pbk/6p1/7p/R7/2p1P1P1/2R2P1P/6K1 w - - 0 1,0.13,0.626,0.496,0.0,quiet_neg,endgame,train
r2r2k1/p4pp1/b6p/8/1pp1Pn2/4NP2/PPB3PP/3RR1K1 w - - 0 1,-0.28,0.046,0.326,0.0,quiet_neg,endgame,train
1k1r4/4bp2/p1q1pnr1/6B1/NppP3P/6P1/1P3P2/2RQR1K1 w - - 0 1,0.42,0.371,-0.049,0.0,mid,opening,val
1n1rr1k1/1pq2pp1/3b2p1/2p3N1/P1P5/P3B2P/2Q2PP1/R2R2K1 w - - 0 1,0.59,1.428,0.838,0.0,mid,opening,train
1r3b2/3R2pk/6q1/3Q1p2/p6P/4B2P/1P3P1K/8 w - - 0 1,1.85,4.635,5.545,2.76,attack,midgame,train
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - - 0 1,0.13,0.927,0.797,0.0,quiet_neg,midgame,train
2r1rbk1/pp2p2p/6p1/n4p2/1NbP4/4PBBP/P4PP1/2RR2K1 w - - 0 1,0.71,1.6,0.89,0.0,mid,midgame,train
2r3k1/p2npp2/p2p1bp1/3P4/1qN1PQ1P/1P2B3/r5P1/1R3R1K b - - 0 1,0.55,0.533,-0.017,0.0,mid,opening,train
2rq1k1r/pp3p2/7p/1BPp1bp1/1P6/P1N1P3/3Q1PPP/2R1K2n w - - 0 1,-0.07,-3.428,-3.358,0.0,quiet_neg,midgame,train
3r1bk1/3q1p2/4bP1p/pp4pP/2pP4/2P3B1/P1Q3P1/4RRK1 w - - 0 1,1.27,3.851,4.921,2.34,attack,midgame,train
3r2k1/3r1pp1/2QP4/pP5p/1qN5/4R1P1/4PK1P/8 w - - 0 1,-0.41,-1.346,-0.936,0.0,mid,midgame,train
4k3/p1p3p1/1pbp2qp/n3p3/2P3PB/2PPQ2P/P3P1B1/6K1 w - - 0 1,1.19,0.838,-0.352,0.0,attack,endgame,val
4r1k1/p5b1/P2p1pp1/q1pP3p/2Pn1BbP/2NP2P1/3Q2BK/1R6 w - - 0 1,-0.19,-1.003,-0.813,0.0,quiet_neg,midgame,val
5n2/kbr3p1/5n1p/Pp2pP2/4P1PP/2p5/P1Br4/2RNRNK1 b - - 0 1,0.5,0.869,0.369,0.0,mid,midgame,val
5rqk/3b2pp/1pnNp3/3r4/6P1/PQ2B1RP/5PK1/3R4 b - - 0 1,0.1,-1.966,-2.066,0.0,quiet_neg,opening,val
7k/1qr2p2/p3p2p/P1b1P1p1/2Q1n3/1p2BN1P/1P3PP1/2R3K1 w - - 0 1,0.32,1.237,0.917,0.0,mid,midgame,train
b4rk1/8/4pr1p/2q5/P4p2/2PB4/6PP/R3QR1K w - - 0 1,-0.56,0.122,0.682,0.0,mid,midgame,train
r1q3k1/p2rnpb1/1pnBb1pp/2p1P3/6P1/2N2N1P/PP2QPB1/R2R2K1 w - - 0 1,-0.02,0.87,0.89,0.0,quiet_neg,opening,train
r2r2k1/p2n1p2/4q2p/3p2p1/1PpB4/P1NnPP2/2Q3PP/R2R2K1 b - - 0 1,0.11,0.153,0.043,0.0,quiet_neg,opening,val
r3qrk1/4bpp1/Rp2pn1p/2p1N3/3P4/2P1P1B1/4QPPP/3R2K1 b - - 0 1,0.15,1.105,0.955,0.0,quiet_neg,opening,train
r4rk1/1pp2qpb/1n2p2p/pP1p1P2/P2PPBP1/7P/3NQ3/R3R1K1 w - - 0 1,0.32,1.201,0.881,0.0,mid,opening,train
r5k1/p2b1pbp/6p1/2p5/1nn5/2N3P1/PP1N1P1P/R1B2RK1 b - - 0 1,-0.15,0.17,0.32,0.0,quiet_neg,midgame,train
1k1r4/1p3p2/p1bq1p1p/4p3/3r1P1Q/P5P1/1PP1B2P/K2RR3 b - - 0 1,0.2,0.122,-0.078,0.0,quiet_neg,midgame,train
1qr1r1k1/5pp1/1p2p2p/1Qbn3b/2R5/3P1NPP/3NPPB1/1R4K1 w - - 0 1,-0.62,-1.503,-0.883,0.0,mid,opening,train
1r2r1k1/2qn1pb1/3p2pp/p1pP4/PpQ1PP2/1P4PP/1B4B1/3RR1K1 w - - 0 1,-0.06,0.676,0.736,0.0,quiet_neg,opening,train
1r3rk1/1p3ppp/pN2bn2/P1p5/4P3/2P5/1P2B1PP/R4RK1 w - - 0 1,-0.36,-0.804,-0.444,0.0,mid,endgame,train
1rb2rk1/2q2pb1/3p1np1/1pnP2Bp/4P3/1pN2PN1/3QB1PP/1RR3K1 w - - 0 1,0.2,1.177,0.977,0.0,quiet_neg,opening,train
2b1r1k1/pp2rppp/2p3q1/3p4/1P1P4/P1N1PP2/5QPP/4RRK1 w - - 0 1,-0.71,-0.747,-0.037,0.0,mid,midgame,val
2r1r1k1/5npp/3q4/1QpP1p2/1p6/4PP2/1B2R1PP/2R3K1 w - - 0 1,-0.08,-0.672,-0.592,0.0,quiet_neg,midgame,train
2r3k1/4Qp1p/3p2p1/3q4/b1p5/P1b3P1/R3PP1P/1R3BK1 w - - 0 1,-0.19,0.276,0.466,0.0,quiet_neg,midgame,train
2rrb1k1/1p3pp1/p1p4p/P5q1/2BP4/1P1RPQP1/5P2/3R1K2 w - - 0 1,-0.04,0.921,0.961,0.0,quiet_neg,midgame,train
3r2k1/1pp1q2p/p5pb/2n1p2r/5PQ1/P1PP3P/1P5K/1BBR1R2 w - - 0 1,0.38,-0.961,-2.601,-1.26,mid,opening,val
4r1k1/1p1r1ppb/1qpp1n1p/p7/P1PRPN2/2Q2P2/1P4PP/1B1R2K1 b - - 0 1,-0.35,0.607,0.957,0.0,mid,opening,val
5k2/4pp1p/r2p2p1/8/6P1/5P2/1R3B1P/2r2BK1 b - - 0 1,-0.31,0.206,0.516,0.0,mid,endgame,train
r1b1kb1r/1p1ppppp/p2q2n1/2pN3Q/8/8/PPPP1PPP/R1B1RBK1 w kq - 0 1,1.02,0.962,-0.058,0.0,attack,opening,train
r1b2rk1/1p3pb1/pq1Pp1p1/5n1p/2B2P2/1NP2Q2/PP1P2PP/R1B1K2R b KQ - 0 1,-0.05,0.319,0.369,0.0,quiet_neg,opening,train
r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - - 0 1,0.56,1.285,0.725,0.0,mid,opening,val
r2qr1k1/1b3pb1/p2p2p1/8/2BNn1P1/2p1B3/P1P5/1NKRQR2 b - - 0 1,1.85,6.194,4.884,0.54,attack,opening,train
r2r2k1/p1q3pp/1p1npp2/2p5/P1PP4/B3PP2/6PP/2RQ1RK1 w - - 0 1,-0.04,-0.817,-0.777,0.0,quiet_neg,midgame,train
r2r2k1/ppq2pp1/5nnp/1B3b2/2PPp3/P6P/1B1NQPP1/2R2RK1 w - - 0 1,-0.38,0.429,0.809,0.0,mid,opening,train
r3r1k1/1p2qpp1/1bp2n1p/2n1pP2/p5P1/B6P/PPPNQPB1/R2R2K1 b - - 0 1,-0.17,-0.684,-0.514,0.0,quiet_neg,opening,train
r4rk1/1p1qppbp/1n1p2p1/1PpP3n/p3P3/2NQ1N1P/1PPB1PP1/R3R1K1 w - - 0 1,0.37,1.309,0.939,0.0,mid,opening,train
1k5r/1p1b4/4pp1r/3p4/q4PQ1/3B1R1P/2P1R1PK/8 w - - 0 1,-0.07,-1.284,-1.214,0.0,quiet_neg,midgame,train
1r1r2k1/4pp2/1PR3p1/p2P1n1p/1p1q1Q2/5P1P/2B1RPPK/8 w - - 0 1,-0.13,-2.141,-3.271,-1.26,quiet_neg,midgame,train
1r3rk1/qn2n2p/3p1p2/pp1Pp1p1/1N2P3/QP5P/P1R2PP1/2R2NK1 w - - 0 1,0.53,0.976,0.446,0.0,mid,opening,train
1r6/5pk1/Qp1rnqp1/3B3p/1R2P2P/6P1/5PK1/1R6 w - - 0 1,-0.4,0.359,-1.221,-1.98,mid,midgame,train
2qb1rk1/1brn1pp1/3p3p/1B1Pp3/4P1P1/R3BN1P/4QP1K/1R6 w - - 0 1,-0.17,-0.497,-0.327,0.0,quiet_neg,opening,val
2r2rk1/4pp2/Qp3qp1/3B3p/3nP3/8/P4PPP/1R1R2K1 b - - 0 1,-0.16,0.547,0.707,0.0,quiet_neg,midgame,train
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - - 0 1,0.18,-0.248,-0.428,0.0,quiet_neg,opening,val
3q4/5ppk/2p1n2p/2n1pN1P/4P3/Q1P2PP1/6BK/8 w - - 0 1,-0.69,-1.192,-0.502,0.0,mid,endgame,train
3r2k1/6pp/1pq5/p2pR3/3Q4/P5P1/1P3P1P/6K1 w - - 0 1,0.13,-0.259,-0.389,0.0,quiet_neg,endgame,train
3r3k/p4p1p/b4Prp/1p2R3/1P1p4/6PP/P4PB1/3R2K1 w - - 0 1,0.69,1.271,0.581,0.0,mid,endgame,val
4b3/p2nP1k1/1r2R1p1/q1p5/2Br2P1/1P2QP2/P1P5/4R1K1 b - - 0 1,1.35,4.51,6.4,3.24,attack,midgame,train
4rk2/4p2p/3p1pp1/1p1P4/1Pq2P1P/P2RQ3/2r3P1/4R1K1 b - - 0 1,0.43,0.414,-0.016,0.0,mid,midgame,val
5r2/6k1/3p3p/1p1Qbbp1/1PP5/6NP/1q5P/4RB1K w - - 0 1,1.58,2.181,0.961,0.36,attack,midgame,train
6k1/5p1p/4pPpP/3p4/qpnB1P2/rN4P1/2B3K1/3Q4 b - - 0 1,0.87,-1.47,-0.72,1.62,attack,midgame,train
8/5nkq/1rNp1pp1/2pPp1p1/1n2P1P1/1PN2P2/6P1/R2Q2K1 w - - 0 1,-0.34,2.006,0.906,-1.44,mid,midgame,train
r1b1k2r/ppp2p1p/2q2p2/8/8/6Q1/PPP2PPP/R3K1NR w KQkq - 0 1,-0.04,0.031,-2.269,-2.34,quiet_neg,midgame,train
r1br3k/ppp3bp/2n3p1/4ppN1/2P5/1P4P1/PB2PPBP/R4RK1 b - - 0 1,0.31,0.623,0.313,0.0,mid,midgame,val
r4r1k/4bpp1/p2p1nbp/q1p5/2PnPPB1/P1NPB3/1R3N1P/3Q1RK1 w - - 0 1,-0.91,-0.577,0.333,0.0,attack,opening,val
r4rk1/pp3ppp/2n1p3/4Pb2/2N5/3q1N2/PP3PPP/R1QR2K1 b - - 0 1,-0.11,-0.49,-0.38,0.0,quiet_neg,opening,train
r7/4bpk1/p5p1/1p1RP2p/8/2r1B1PP/P4P2/3R2K1 w - - 0 1,0.22,0.283,0.063,0.0,quiet_neg,endgame,train
rnb1r1k1/pp2bppp/2p2n2/8/1q1Q1B2/2N2NPP/PP2PPB1/R4RK1 w - - 0 1,0.03,1.175,1.145,0.0,quiet_neg,opening,train
r7/4bpkp/4p1p1/pq1nP3/Q2P3P/5PP1/3BNK2/R7 b - - 0 1,-0.67,0.539,1.209,0.0,mid,midgame,train
r3r1k1/p1pp1p2/1pn2n1p/2P3p1/3P4/2P1B1P1/P1Q1qPNP/2RR2K1 b - - 0 1,-0.25,-0.18,0.07,0.0,quiet_neg,opening,train
r2r2k1/5pp1/2bPp3/p1N4p/1qQ5/2P2P2/BP4PP/1K1R4 b - - 0 1,-1.42,-1.313,0.107,0.0,attack,midgame,train
r1r3k1/p4ppp/4p3/3p4/3B3P/6P1/P1q2PB1/R2Q2K1 w - - 0 1,-0.21,-1.941,-1.731,0.0,quiet_neg,midgame,train
r1bq1rk1/1p2bppp/p1n1pn2/2P5/P1B5/2N1PN2/1P3PPP/R1BQ1RK1 w - - 0 1,0.04,0.827,0.787,0.0,quiet_neg,opening,train
r1b2k1r/pp3ppp/4p3/1B6/1b6/2q5/P1Q2PPP/R1B2RK1 w - - 0 1,0.31,-1.08,-1.39,0.0,mid,opening,train
8/r1q2p1k/1Q1p1p1p/p3pP2/4P1R1/1P5P/2P3PK/8 w - - 0 1,1.3,4.472,3.172,0.0,attack,endgame,train
6k1/ppp1rppp/7q/2Npr3/P4Q2/3B2P1/1PP4P/5RK1 b - - 0 1,-0.32,-0.741,-0.421,0.0,mid,midgame,train
6k1/1p3pp1/p1rpq2p/3Q4/P1P2P2/1P6/3R1KPP/8 w - - 0 1,-1.03,-2.129,-2.629,-1.53,attack,endgame,train
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - - 0 1,1.82,1.742,1.902,1.98,attack,midgame,train
4rk2/5pp1/p3n2p/1prNR3/2q2P1P/6P1/PP2Q3/1K2R3 w - - 0 1,-1.02,-0.52,-0.76,-1.26,attack,midgame,train
4r1k1/3b1pp1/pB6/P2r3p/1q1P1P2/2Q5/1P2p1PP/2R1R2K b - - 0 1,-0.38,1.004,1.384,0.0,mid,midgame,val
3r2rk/1p3Rpb/2nBp2p/p1P5/1pB1q3/1P2Q2P/5RPK/8 w - - 0 1,1.11,2.412,1.302,0.0,attack,opening,train
3qr2k/3Q3p/p2p2pB/3P1p2/4p3/PPb3P1/2P1PP1P/5BK1 w - - 0 1,0.99,0.442,-0.548,0.0,attack,midgame,train
2rr2k1/4bppp/p3p1n1/4P3/2q1Q1P1/2N3B1/PP3R1P/5R1K b - - 0 1,-0.3,0.28,0.58,0.0,mid,opening,train
2r3k1/1R3p2/5rp1/p2p3p/3P1B1P/2p1PP2/P2nq1P1/2RQ2K1 b - - 0 1,-0.86,-1.043,-1.623,-1.44,attack,midgame,train
2r1kb1r/5p2/p1npb2p/1p1NppqQ/4P3/N1PB4/PP3PPP/R3R1K1 w k - 0 1,0.71,1.624,0.914,0.0,mid,opening,train
1r4k1/1brp1pp1/1p3n1p/2q1p3/2P1P3/1PNBQ3/P3RP1P/3R3K w - - 0 1,-0.36,-0.509,-0.149,0.0,mid,opening,val
1k6/1r3p2/3p1b1p/pprPpPpP/5qP1/PRPB1Q2/1P6/1K2R3 w - - 0 1,0.37,0.924,0.554,0.0,mid,midgame,train
