fen_start,sf_best,sf_cp,sf_static,cat,attackers,phase_bin,subject,stm
4k3/3bbp2/7r/p2R2p1/1p1QP2p/1P3pP1/P1q2B1P/6K1 b - - 2 33,c2c1,-613,-349,play,4,early_mid,white,b
6k1/p3n3/5qpp/4P1n1/Pp1p1p2/1Pr3P1/3QPP1P/RR4K1 b - - 0 37,f6e5,-469,-358,play,4,early_mid,white,b
4rrk1/p4p1p/3p2p1/8/2bnqP1P/P4Q2/1P3K1R/3R2N1 w - - 0 25,f3e4,-614,-621,play,4,early_mid,white,w
r4rk1/1bp5/4p1pp/6N1/1pp1P3/1P1q2PP/3B4/1RKQ3R w - - 0 27,d2b4,-336,-263,play,4,early_mid,white,w
3rb1k1/r4pp1/2p1pn1p/p1N1N3/Pn1P4/1P1B1PQ1/6PP/2R3K1 w - - 1 27,g3h4,499,507,play,4,early_mid,black,w
2r3kb/7p/3R3P/p1pN4/PpPnr3/4B1P1/2R1PP2/4K3 w - - 2 43,e3d4,289,179,play,4,late_mid,black,w
8/2pk1p1p/1p2p3/pq2P3/3P4/2Q2p2/PP1K1P1r/4R3 b - - 3 23,h2f2,-475,-284,play,4,late_mid,white,b
8/1p3pk1/4p2p/3pP2p/3P1P2/3q2P1/1r3B1K/4Q3 w - - 0 38,f4f5,-761,-532,play,4,late_mid,black,w
3rk3/5p2/5PnR/3pP3/p2P4/3rB3/P1R1N3/4K3 b - - 0 41,d3e3,252,449,play,4,late_mid,black,b
r6k/1p3Bp1/1n6/p2pP3/6n1/P3PQ2/1P2KPP1/q7 w - - 0 30,f3g4,-221,-126,play,4,late_mid,white,w
r7/pn1k4/3b1p1p/1P1p4/3P2r1/P3B3/4KPp1/R5R1 b - - 3 27,b7a5,-577,-439,play,4,late_mid,white,b
r5rk/1p5p/b2Bpp2/8/P2N4/1pn1P2P/1N3P2/R3K1R1 w Q - 6 29,g1g8,244,193,play,4,late_mid,white,w
8/pp1nkpp1/4pn2/P2p3p/1P1P3P/2rNPPP1/2r5/R3K2R w - - 3 25,e1d1,-501,-454,play,4,late_mid,black,w
8/p2k1n2/1p6/2pp1P2/6P1/4q3/7Q/R4R1K w - - 0 34,a1a7,765,416,play,4,late_mid,black,w
r6r/ppk1n1n1/4PNp1/8/2p1N1P1/2P2R1P/P7/3R2K1 w - - 3 31,d1d7,641,371,play,4,late_mid,black,w
r7/p1k1N3/1pbp4/2p1nP2/P1P1P3/3P1p1p/2qB1P1P/3RK1R1 w - - 6 30,e7d5,-99992,-391,play,6,late_mid,black,w
8/2kr1pp1/p1b1p2p/P2rP2n/5P2/3BK2P/1P1RN3/2R5 w - - 3 33,e2c3,138,125,play,6,late_mid,white,w
1r6/4k1p1/2p1np1p/2n5/2P1p1PP/r3B3/P1RRPPB1/6K1 b - - 7 40,g7g5,62,49,play,5,late_mid,black,b
r3n3/pp1R4/1k2P2r/8/2p1NNP1/2P2R1P/P7/6K1 b - - 2 37,b6c6,692,558,play,5,late_mid,black,b
3r2k1/1p2qp2/p2R1np1/P1p1p1bp/2B1P3/2B2QPP/1PP2P2/3R2K1 b - - 0 27,d8d6,224,419,play,3,early_mid,black,b
1qr4r/3pkpQ1/p3p2p/3P4/8/6P1/P4PKP/R1R5 b - - 0 25,b8a8,124,120,play,3,early_mid,black,b
2r2k1r/1p3pp1/p1p1p3/P4bNp/3Pp2P/R3q3/1PP1B3/3Q1K1R b - - 1 21,e3f4,87,106,play,3,early_mid,white,b
1r4k1/4b2p/1q2p1p1/3pPp2/P3n3/6P1/R3QP1P/Br2R1K1 w - - 1 32,a4a5,-388,-380,play,3,early_mid,white,w
2r1k3/5p2/p3p3/q2pP3/P1pP1Q1N/R7/2r5/1R4K1 b - - 1 34,a5d2,63,177,play,3,early_mid,black,b
2kr4/pp2q3/2p1b2p/2P2B2/3p1QP1/P3P3/1P1R2R1/1K6 b - - 6 37,e6f5,554,262,play,3,early_mid,black,b
r3k1r1/2R1qp2/p3p2p/1p6/5Q2/b3PN2/5PPP/3R2K1 b q - 1 25,e8f8,533,256,play,3,early_mid,black,b
2b1k2r/4npp1/1qPp1n2/4p2p/1pP4N/3P2P1/1B1QPPBP/4K2R w Kk - 4 21,d3d4,142,149,play,3,early_mid,black,w
1k2r2r/1p1q2p1/pB2B2p/4bp1P/8/1QP2P2/1P6/1K6 w - - 0 36,e6d7,501,-165,play,3,early_mid,black,w
2r1k3/8/2b1n1p1/7q/1p1pP1r1/pP1B4/P1P2RQP/5RK1 b - - 8 41,g4g2,-635,-420,play,3,early_mid,white,b
r3k2r/pp2ppb1/n1p1b2p/4n1P1/2PNN2R/6B1/P4P2/2R1KB2 b kq - 0 20,e6c8,-225,-160,play,3,early_mid,black,b
3rk3/4qN2/p5p1/3p4/P4Q2/3BPR2/7P/2r3K1 w - - 1 36,g1g2,468,,play,3,early_mid,black,w
5r1k/6pp/1ppp1P2/p1b5/P1q5/2P4P/1KQ2p2/R2R4 b - - 1 36,f8f6,-499,-412,play,3,early_mid,white,b
r1b2rk1/p5bp/2p3p1/P2n4/6P1/5P1P/1Pn2B2/2KR1BNR w - - 0 22,c1c2,-250,-181,play,3,early_mid,white,w
4k1r1/4b3/p1r1qp2/5p1p/2bP1B1P/5PP1/P2Q3R/2R3K1 b - - 1 31,e8f7,-381,-345,play,3,early_mid,white,b
r4r1k/p3Qp1p/qpp1pNp1/4P3/2P2P2/8/PP4PP/1K1R3R b - - 2 27,a6c4,487,375,play,3,early_mid,black,b
1r2r1k1/1Pn2pB1/pq4p1/2p1p3/Q3N2P/2PP2P1/5P2/R5KR b - - 0 27,g8g7,308,345,play,3,early_mid,black,b
2r2k2/4np2/p5q1/Ppp1p1P1/2Ppp3/1P1P2Pr/2NQ3P/4RRK1 w - - 0 28,e1e4,314,99,play,3,early_mid,white,w
4rk1r/pp4pp/8/1Q4P1/1b1Pp1BP/4n3/qP3P2/2R2KR1 w - - 0 29,f2e3,310,,play,3,early_mid,white,w
r1r3k1/5p1b/3p1p2/3PqP2/p1p1P3/5BPP/3Q4/1RR4K w - - 9 44,d2c3,-40,25,play,3,early_mid,black,w
4r1k1/6nr/1p2P1R1/p1p4p/P1P1pP2/1P1qP1R1/4Q1P1/5K2 w - - 3 43,e2d3,223,41,play,3,early_mid,black,w
4rk1r/p4ppp/1p6/1q1Rp3/8/4BQ2/PPP2PPP/1K6 b - - 3 20,b5c6,-71,-27,play,3,early_mid,black,b
2k2r1r/1p1bb1p1/pBq1p2p/5p2/6PP/1Q1B1P2/1PPN4/2K4R w - - 3 23,d2c4,-80,-125,play,3,early_mid,black,w
r4rk1/1pp3pp/3pp3/p1b5/1n2P3/2N2N2/PP3PPP/R4RK1 w - - 0 17,a1c1,-217,-166,play,2,late_mid,white,w
6k1/2q3pp/1pr5/3p1p2/3P3Q/4PN2/P3b1P1/6K1 w - - 10 43,f3e1,-572,-246,play,2,late_mid,white,w
4kr2/p3npbp/1n1N2p1/1b1p4/5BP1/5P1P/PPP5/2KR3R b - - 1 24,e8d7,400,,play,2,late_mid,white,b
r1bk3r/1ppn1pp1/3p3p/p2P4/4P3/3Nb1P1/PPP2pBP/R2N1K1R b - - 4 17,e3a7,-120,-141,play,2,late_mid,white,b
1nr4k/2r2p2/p1P1p1p1/4P3/6P1/P2Q4/1P3PP1/2R2K2 b - - 1 29,h8g7,465,480,play,2,late_mid,black,b
5rk1/3b1p2/7p/3n2p1/4P3/b2B1N2/PN4PP/R1R3K1 w - - 1 24,e4d5,499,379,play,2,late_mid,white,w
r4rk1/p2nppbp/1p3np1/4N3/2Np1B2/4PP1P/P5P1/1RR3K1 w - - 0 17,e3d4,-187,-118,play,2,late_mid,black,w
b1r5/r4pk1/2PR1npp/1B6/1P3P2/P5P1/4P2P/R5K1 w - - 3 35,a3a4,90,119,play,2,late_mid,black,w
8/2k3p1/2pn3p/1pb1p3/4P1q1/1R5N/P1P1R3/3K4 w - - 7 33,d1e1,-721,-671,play,2,late_mid,white,w
r1r3k1/1p2p3/1n3bp1/p2pNb1p/P2P1B2/1P2R2P/5PP1/4R1K1 b - - 1 25,f5e4,-401,-462,play,2,late_mid,black,b
8/5pk1/4p1p1/6Qp/2r1q3/8/1PP5/1K1R4 w - - 2 47,g5c1,-374,-375,play,2,late_mid,white,w
2r1kb1r/pp2npp1/4p3/3pP2p/3P1B2/PnN2N2/1P3PPP/RK1R4 w k - 7 17,a1a2,-61,-42,play,2,late_mid,white,w
2rr2k1/4b2p/1p2bpp1/pNn1p3/3p2P1/PP1P1B1P/3NPP2/1R2K2R b K - 1 24,a5a4,-108,-119,play,2,late_mid,white,b
5rk1/2n2ppp/5n2/8/1bN1P3/1r3P2/3B2PP/2R1K2R w K - 1 26,e1e2,-320,-273,play,2,late_mid,white,w
2r3k1/p1q2pb1/6pp/4p3/4Q3/3BnN1P/PP3PP1/1K6 w - - 0 26,e4e3,-503,-241,play,2,late_mid,white,w
4k3/p2n3p/prpnppr1/3p2P1/3P3P/R1PNPN2/4K3/7R b - - 2 28,d6b5,-125,-110,play,2,late_mid,white,b
2bkn3/7p/2p5/3p2r1/RN6/1PP1b1P1/4P1BP/4KR2 b - - 9 26,c8d7,438,353,play,2,late_mid,white,b
r1b1k2r/1pp3pp/1p1p4/4ppB1/PnP1P1n1/3P1N1P/1P2BPP1/R2K1R2 b kq - 0 15,f5e4,-13,24,play,2,late_mid,white,b
6k1/p5p1/1p5p/5r2/PPPb1q2/8/4QPPP/5RK1 b - - 1 32,f4e5,-394,-413,play,2,late_mid,white,b
1rb1k2r/6p1/p1nb3p/1p2p3/3N1P2/1N1B4/PP4PP/4RRK1 b k - 0 20,c6d4,12,141,play,2,late_mid,black,b
r2k1b1r/pp4pp/4b3/2n1N3/2P5/4P1N1/P4PPP/R4K1R w - - 1 18,a1c1,-387,-348,play,2,late_mid,white,w
3r3k/p5pp/p7/P2p2P1/1Q2p3/2P1P3/4qPR1/6K1 b - - 8 44,e2d1,-34,-23,play,2,late_mid,white,b
r3r1k1/1pp2pp1/p2p1n1p/n7/2PN1Pb1/P4B2/2P3PP/2BR1K1R w - - 3 25,d1d3,-303,-262,play,2,late_mid,white,w
6k1/5ppp/p2rp3/4Q3/8/1P6/1PPq2PP/1K2R3 b - - 5 32,h7h5,-23,-46,play,2,late_mid,white,b
rk3b2/1p4p1/p1npb3/5n2/4Q1p1/1P4P1/P1P1PP2/4K2B w - - 0 21,e4e6,259,-205,play,2,late_mid,white,w
r1b2rk1/ppp4p/5pp1/3PNn2/1n1P1P1P/1P2PN2/1P3KB1/R6R w - - 1 19,e5c4,-31,34,play,2,late_mid,white,w
1r2k2r/p2n1p1p/p1p1p3/3p4/2nP4/2PNPN2/4K1PP/R4R2 b k - 5 23,a6a5,-184,-125,play,2,late_mid,white,b
1k6/r7/1p2p3/3p1pn1/qP1P1N2/4P1Pp/8/5RQK b - - 3 47,a4c2,-501,-279,play,2,late_mid,white,b
r1b3k1/ppp3p1/7p/2q1p3/2P4P/2QP1RP1/PP2B3/6K1 w - - 1 24,g1h2,-8,,play,2,late_mid,white,w
6k1/3q2p1/p7/2Q2R2/2P2p2/3P1Pb1/1rPB2K1/8 b - - 2 37,b2b8,265,129,play,2,late_mid,white,b
r4rk1/1pB1np1p/2p2b2/p5p1/2P1P1b1/2NP2PP/PP6/R3K1NR b KQ - 0 14,g4e6,114,66,play,2,late_mid,white,b
1r3k1r/pp1b1p2/3p2p1/1N2n3/2PN3p/2R1P1P1/P5BP/4K2R b K - 1 22,h4g3,311,244,play,2,late_mid,white,b
5knQ/6p1/2p4p/3p4/8/1N1P4/2KR4/5q2 w - - 7 54,d3d4,303,309,play,2,late_mid,white,w
k3r3/p1B2npp/5p2/3r1n2/1P6/4PNP1/3P3P/2R2RK1 b - - 0 29,h7h5,155,124,play,2,late_mid,white,b
rn6/1k1r1n2/1pp2BRp/p7/4N3/P4P2/1PP4P/R1K5 w - - 2 30,c2c3,214,229,play,2,late_mid,black,w
3qr3/4bpkB/2n4R/1bp5/1p1p4/3P1NP1/1P3K2/1NBQ4 b - - 0 27,e7f6,299,241,play,6,early_mid,white,b
3r1qk1/6pp/2n1N3/p7/R3p3/2P3Q1/2KN1PPP/1r6 b - - 2 33,d8d2,-10,-57,play,6,early_mid,white,b
rn1b3Q/pp2kqRP/2p1b3/2P2p2/3P4/8/P2P1P2/RNBK4 b - - 0 33,b8d7,759,417,play,5,early_mid,black,b
2kbR3/B2n4/3p1p2/3P1P2/p1PQ1R2/3n4/6KP/3q4 b - - 4 62,d7e5,217,101,play,5,early_mid,black,b
2r3k1/1p6/1p2r1p1/1P3n1p/PRp2P1b/2Q5/3Bq3/2K3R1 b - - 0 36,g8f7,-688,-381,play,5,early_mid,white,b
1r5r/pp1bkpp1/P1np1n2/2p1pP1p/Q1P1P2P/3PB1P1/6B1/4K2R b K - 0 21,b7a6,-119,-47,play,6,early_mid,black,b
7r/1p1n1pk1/2p3p1/p7/Pr2PQ1P/1p2PKP1/q5B1/1RR5 b - - 0 30,h8e8,-697,-372,play,6,early_mid,white,b
3k2Q1/rp2q1p1/7p/p4R2/5P2/PPP3P1/1K5P/4r3 b - - 15 37,e7e8,0,,play,3,late_mid,white,b
2rr1k2/5ppB/p2bpn1p/1p1bN3/1P1P4/P3BP1P/6P1/R1R3K1 w - - 6 29,h7d3,-29,-47,play,3,late_mid,black,w
2rr1k2/3bb2p/1p4p1/pN2pP2/2Bp1n2/PP1P3P/3NPP2/R2K3R b - - 0 29,g6f5,-149,-133,play,3,late_mid,black,b
2r1k2r/Rp1n1ppp/3b4/3p4/3Pn2P/1PN3PN/1P3P2/2B1K2R w Kk - 1 16,e1e2,170,145,play,3,late_mid,white,w
k2r4/p4p2/2p1n1pp/4Pb2/2PbNP2/P1NP2R1/6KP/2R5 w - - 11 36,c1f1,153,163,play,3,late_mid,white,w
4k2r/1p2b2p/1Bn2pp1/1N3b2/5P1P/3p4/PP6/R1K4R w k - 1 28,a2a3,10,-18,play,3,late_mid,white,w
4kb1r/5pp1/3pb3/2p1p3/2P4p/rP4PP/P2B2B1/R2nR2K w k - 0 27,a1d1,-321,-142,play,3,late_mid,white,w
6k1/1p3ppp/p2q4/8/2P5/2K3R1/1R2N3/5r2 b - - 9 45,f1d1,-565,-643,play,3,late_mid,white,b
1b1q3r/5Q1p/6pk/1P6/4R3/8/6PP/4B1K1 w - - 4 47,g2g3,677,414,play,3,late_mid,black,w
1b2k1r1/n4p2/1r2pBn1/R1p5/2B1NP1p/2PP2Pp/1P6/3KR3 w - - 1 36,g3h4,44,243,play,3,late_mid,black,w
2r3k1/5p1p/4pBp1/8/2b2P2/n3P2P/4B1P1/2rNK2R b K - 0 34,c4e2,-419,-372,play,3,late_mid,white,b
r2k3r/1pp3b1/p1npb1p1/8/3pPN2/6N1/PPP1BP1P/R3R1K1 b - - 4 19,e6f7,-140,-116,play,3,late_mid,white,b
4k2r/1p1b1pb1/4p1p1/p2pP1Bp/P1rp1P1P/R5PB/8/1N1KR3 w k - 0 25,h3f1,-41,14,play,3,late_mid,black,w
8/6rk/3qPQp1/p6p/2P4P/3PR1P1/5P2/5K2 w - - 3 44,f6e5,551,480,play,3,late_mid,black,w
3r4/5k2/4ppp1/7p/1q3P2/5Q2/6K1/7R b - - 1 31,b4d2,-503,-518,play,3,late_mid,black,b
3rk3/p1Q5/4N3/3Pp3/7p/PP6/2P5/2K2q2 w - - 12 50,c1b2,14,,play,3,late_mid,black,w
4r1k1/8/6pp/4p3/2Pp4/3P1PPq/PPQ4P/5bK1 b - - 1 44,h3f5,-583,-417,play,3,late_mid,white,b
3r4/5pk1/5p2/1p1Pp3/1q2P1P1/7P/1p2R3/K3RB2 w - - 0 39,e2b2,-99992,,play,3,late_mid,black,w
k1b5/7r/1pN1p3/pP6/P1pP4/4RQP1/8/5K1q w - - 8 56,f3h1,158,,play,3,late_mid,white,w
2r1k2r/Rp1n1ppp/3b4/3p4/3Pn2P/1PN3PN/1P1B1P2/4K2R b Kk - 2 16,e8g8,169,70,play,3,late_mid,white,b
3k3r/1p2Rp2/1p4N1/7p/8/8/Pq3PPP/3R2K1 b - - 2 23,d8c8,373,,play,3,late_mid,black,b
3k1r2/R6p/3N2p1/3B1p2/6P1/2bP4/5r1P/3K3R w - - 0 30,d5e6,99994,380,play,3,late_mid,black,w
rk3b2/1p1bn1p1/p1npN3/8/6p1/1P2Q1P1/P1P1PP2/4K2B b - - 1 19,d7e6,121,97,play,3,late_mid,black,b
8/5pk1/P7/6p1/P2b3p/5q2/2Q2P1P/2R2K2 b - - 2 43,g5g4,0,3,play,3,late_mid,white,b
2r1k3/3p1pb1/1p2p2p/p1P1P3/P1P4q/1P2B3/3QKP2/3R4 b - - 0 30,h4h5,170,53,play,3,late_mid,black,b
r2q1k2/1pp1Q1p1/1n1P1nr1/p3B2p/3PN3/PP3R2/5P2/1R2KB2 b - - 0 28,d8e7,439,,play,5,opening,black,b
1k1r1b1r/1p2ppp1/p3qn2/5b2/3P1N2/BP1BP3/P4K1P/2RQ3R b - - 0 18,f6e4,-261,-182,play,5,opening,white,b
r3r1k1/6pp/pn1b4/1pPp2P1/5PqP/2Q1P3/PP1K2BR/R1B5 b - - 0 23,d6f4,-325,-192,play,6,opening,white,b
rnb2r2/pp1pk1p1/2qbp1n1/1N1P1p1p/7P/P1QBPN2/1P1B1PP1/R3K2R b KQ - 0 14,c6c3,379,440,play,6,opening,black,b
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 0 1,e8g8,51,31,canon,1,opening,white,b
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP1QPPP/R1B2RK1 w - - 0 1,c3a4,20,5,canon,2,opening,white,w
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq - 0 1,f6h5,-23,17,canon,2,opening,black,b
2r2rk1/pp1bppbp/3p1np1/q7/3NP3/1BN1BP2/PPPQ2PP/2KR3R w - - 0 1,c1b1,434,553,canon,3,opening,black,w
r2q1rk1/1b1nbppp/p2ppn2/1p6/3NPP2/2N1B3/PPPQB1PP/2KR3R w - - 0 1,e2f3,-177,-80,canon,1,opening,black,w
6k1/5ppp/8/8/8/8/5PPP/3QR1K1 w - - 0 1,e1e8,99999,722,canon,1,endgame,black,w
