fen_start,sf_best,sf_cp,sf_static,wing,color,surplus,phase,outside,stm
4k3/1pR2p1p/1N3P2/Pb6/6PK/3r1P1P/8/8 b - - 2 47,d3d8,510,340,ks,w,2,eeg,0,b
8/2k5/8/pp6/3R4/P1PN4/1P2K1q1/8 w - - 20 72,e2e3,0,,qs,w,1,eeg,0,w
5rk1/p7/p3pppp/8/P2p1PbP/2N5/2P2RP1/6K1 w - - 0 31,c3e4,-287,-260,qs,b,1,eeg,1,w
6R1/5pp1/5k2/5rp1/7P/6PK/8/8 w - - 0 44,h4h5,0,2,ks,b,1,leg,0,w
r1bk2r1/2q2Qb1/1p2pn1p/p1pPP2B/P1P5/1P2P1N1/1B4PP/R4RK1 b - - 0 22,c7f7,743,550,ks,w,2,mid,1,b
6k1/5pp1/pp4bp/2pp4/4n1P1/P1qPQ2P/2P5/1RKNrB2 b - - 3 32,c3a3,-804,-619,qs,b,1,mid,0,b
7k/7p/2p5/p1R5/P1P5/1P1Pp3/6r1/3K4 w - - 1 53,c5c6,135,146,qs,w,2,leg,1,w
6k1/4r2p/1qp5/p2p1BN1/6P1/1PQ1P2P/3K4/7r b - - 0 43,b6b4,-467,-311,qs,b,2,mid,0,b
rk6/1p2B3/2qRrbQ1/p4p1p/2p5/2P1P3/P1P3PP/3R2K1 b - - 4 37,e6d6,469,206,ks,w,1,mid,1,b
1r3rk1/6pp/pp1p4/2pNp3/2P1P2b/PP1Q1q2/1BKP2bP/2R4R w - - 0 31,d3f3,-379,-257,ks,b,1,mid,1,w
6B1/1p6/p1r5/8/Pp1k4/1P6/8/5K2 b - - 5 55,c6c8,-518,-473,qs,b,1,leg,1,b
4r1k1/pp1RB1pp/8/5P2/2P1p3/1n6/P4PPP/6K1 b - - 1 36,b3a5,247,211,ks,w,1,eeg,0,b
3r2k1/6p1/8/1pr1p1R1/p1b1P3/P1P2P1P/1R2N1P1/6K1 b - - 0 33,d8d1,173,89,ks,w,2,eeg,0,b
2k5/1pR3p1/8/p4q2/7P/PP4P1/3BK3/8 b - - 0 41,c8c7,-616,,ks,w,1,eeg,1,b
3r4/2b1k1p1/4p3/p1P2r2/PpBP1n1p/1p2B2P/1P6/1K1R1R2 b - - 6 39,f4g2,-20,-17,ks,b,2,mid,1,b
5rk1/5pp1/p3p3/1p1pP3/3P4/6Q1/1P1K1P2/6q1 b - - 1 44,g1g3,-825,-491,qs,b,1,eeg,0,b
r3k2r/p3npp1/3p4/2pPp1Np/P7/2pP3P/1P3PP1/R3K2R w KQkq - 0 19,b2c3,-195,-150,ks,b,1,eeg,0,w
7r/5pk1/p1p1p1p1/P6p/1n6/2r1BP1P/1P3KP1/7R w - - 0 32,b2c3,1,-65,ks,b,1,eeg,0,w
r6k/6n1/p4RBp/8/P1N2p2/1P2p1P1/4P1KP/2r5 b - - 0 44,f4g3,216,64,qs,w,1,eeg,1,b
2R3k1/1p2pp1p/4nb2/P2p1B2/1P1P2Pr/4P2P/1B6/3K4 b - - 0 40,e6f8,471,,qs,w,1,eeg,1,b
8/4k2p/1NB3p1/2p5/6K1/7P/1Pr5/8 w - - 0 44,b2b3,0,-15,ks,b,1,leg,0,w
r5k1/1R5p/4Nnp1/3n4/8/p4P2/P4KPP/4R3 b - - 1 33,d5c3,435,438,ks,w,1,eeg,0,b
8/p2k3p/6p1/8/8/8/PP4bq/K2Q4 b - - 3 45,d7e7,-504,,qs,w,1,eeg,0,b
2k5/1p4pp/5n2/8/p1b3P1/2r1bP1P/P6R/3K1RN1 w - - 2 37,g1e2,-663,-527,qs,b,1,eeg,0,w
4r3/7p/2p1kp2/3b4/3P1P2/Q4P2/5K1P/8 b - - 1 43,f6f5,171,92,ks,w,1,eeg,0,b
8/p7/Pb5p/4NRpk/8/1P6/2K5/7r b - - 3 56,h1a1,-293,-236,qs,w,1,eeg,1,b
2r3k1/8/2pB1p2/2P3pp/1P2p3/2Pb3P/1P3KP1/4R3 w - - 1 34,b4b5,63,31,qs,w,3,eeg,1,w
3r4/p1r3k1/P2n3p/R1pBR1p1/2Pp2P1/3P3P/1PK5/2B5 b - - 0 36,d6c8,569,469,qs,w,1,eeg,1,b
r4rk1/2p2ppp/pp6/8/3q4/P1NP4/1P1B2PP/2KR1B1R w - - 2 18,f1e2,-9,25,ks,b,1,mid,1,w
6k1/r3b2p/pp1p1rpB/2pPp3/P1P1B3/P1R2p1P/5P2/5KR1 w - - 0 26,e4f3,452,446,ks,b,2,eeg,0,w
5Q2/2pk4/4p2p/P5p1/3P4/2q4P/6P1/5R1K w - - 4 36,f8c5,807,603,ks,b,1,eeg,0,w
3r4/4k3/2bppp2/pp4p1/3RP1P1/PPN2P2/2P2KPr/4R3 w - - 1 27,e1d1,160,158,ks,w,1,eeg,0,w
r4k1r/p1p3pp/1p1pb3/8/8/2P2P2/PRP1K1PP/2BR4 b - - 3 18,f8e7,-90,-86,qs,b,1,eeg,1,b
8/6k1/3R1p1p/1b3K1P/4BPP1/r7/8/8 b - - 0 61,a3a5,0,52,ks,w,1,eeg,0,b
8/1pN1pp2/1Pk4p/P1b2Pp1/6P1/1R1K3P/5P2/8 w - - 1 51,f2f3,758,670,qs,w,1,leg,0,w
1r5b/3k4/3pn1p1/p3Pp1p/2R4P/P3PNP1/4PKN1/8 b - - 0 34,h8e5,-49,21,ks,w,2,eeg,1,b
8/2pk1p1p/3p2n1/q5B1/3P4/4QP1P/2P2P2/6K1 w - - 6 29,h3h4,0,36,ks,w,1,eeg,1,w
3r1rk1/2R2p2/1p1Rp1p1/p3P2p/P1N1P3/1P6/4KPPP/8 b - - 6 28,d8c8,586,493,ks,w,1,eeg,0,b
8/6pp/pR6/8/1P1b1k2/5P2/1r4PP/5K2 w - - 6 43,b6a6,-496,-413,ks,w,1,leg,0,w
r3r1k1/1pp5/3p2p1/pP3p1p/2P1n2P/4PB2/PR2KPP1/7R w - - 0 22,h1c1,10,23,qs,b,1,eeg,1,w
r7/p7/5kp1/2pP2p1/3n1nP1/1P6/P1B5/2K2R2 w - - 2 39,f1h1,-492,-546,ks,b,1,eeg,1,w
3r4/p3pkbp/1pB3p1/2n5/2PR4/8/P4P1P/2R3K1 b - - 0 27,g7d4,-580,-103,ks,b,1,eeg,0,b
6k1/p1p5/p5p1/3p1p1p/P2P3R/2P3rN/4r1P1/5K2 w - - 0 30,f1e2,-9,-318,ks,b,2,eeg,0,w
8/1p2r1k1/p1b3pp/5p2/3RP1P1/1P2K2P/P1P3B1/8 b - - 1 38,f5g4,124,62,qs,w,1,eeg,1,b
3n2r1/3k3p/p2b1B2/3p1p2/6P1/P3P2P/1P3P2/2RK3R w - - 1 27,f6d8,518,577,ks,w,2,eeg,1,w
2rr4/R1n1k2p/3pp1p1/p1p5/2P1NP1P/P1PN4/4K3/R7 w - - 2 34,a1b1,455,485,ks,b,1,eeg,0,w
5k2/5p2/1p6/p1p1PPP1/8/P7/1PK2BB1/r7 w - - 0 45,g2e4,525,429,ks,w,2,leg,0,w
2krr3/pp6/2b1q2p/6p1/4N3/PP3PQP/5P2/1RR3K1 w - - 0 34,b3b4,381,42,ks,w,1,mid,1,w
6k1/8/2pq3p/1p3p2/p4n1P/4Q1P1/PP6/6K1 w - - 0 42,g3f4,-198,-142,qs,b,1,eeg,1,w
8/6k1/1p4P1/p1p1P3/4B3/P7/1PK2B2/r7 b - - 2 47,a1f1,574,377,qs,b,1,leg,0,b
5r2/3B4/8/p6p/Pk2K2P/6P1/8/8 b - - 5 70,b4c5,-122,-150,ks,w,1,leg,1,b
8/2Q1b3/B5k1/1p3p2/8/1P4P1/P4P1K/3q4 b - - 4 36,d1d4,232,85,qs,w,1,eeg,1,b
3n4/3k3R/p3pp2/Pb3p2/1N3P2/1P2PK2/8/8 b - - 14 44,d7d6,379,,qs,w,1,leg,0,b
4K3/6k1/R7/5p1p/5p1P/5P2/8/8 b - - 6 87,g7g8,99996,550,ks,b,1,leg,0,b
3r4/5pk1/R5p1/7p/2PnrP2/4b1P1/PP6/1KN1R3 b - - 9 46,d4f3,-509,-380,ks,b,1,eeg,1,b
3q2k1/4npp1/4p1p1/8/3PN2P/1Q3PP1/1P6/6K1 w - - 2 52,g1g2,14,17,ks,b,1,eeg,0,w
8/1r1k1n2/p1bbpB2/2p2p1p/2P3pP/PP2PP2/2B2KP1/1Q6 w - - 0 36,b1e1,364,354,qs,w,1,eeg,0,w
8/1B4k1/5ppp/8/5RP1/8/3r1PK1/4r3 w - - 0 48,f4c4,-390,-415,ks,b,1,eeg,0,w
r2k4/3b1p2/1p3p1p/2P2P1r/P1P1R1P1/3K4/P6P/R1B5 b - - 0 31,h5h3,304,205,qs,w,3,eeg,0,b
r2k4/4b1p1/3p1pB1/3P4/1pP5/pP2R3/P4K2/8 w - - 18 49,f2g3,18,5,qs,w,1,eeg,0,w
8/8/1p1p4/1P1Ppk2/2P2b2/PB1PpK2/7r/5R2 b - - 6 53,h2d2,-331,-162,qs,w,3,eeg,1,b
8/1p3k2/2r2pp1/P1P5/3rb3/P3R2P/1K6/4R3 b - - 2 34,f6f5,-498,-383,qs,w,2,eeg,1,b
2N5/1p1r1k2/1K3p2/PP1r1p2/2R2Pp1/6R1/8/8 w - - 5 53,g3e3,445,397,qs,w,1,eeg,1,w
4r3/1p1r2kp/4p1p1/8/2P2p2/5B2/P1N5/1K5R w - - 1 43,b1b2,-289,-276,qs,w,1,eeg,1,w
2kr3r/Qp2pp2/P2pb1p1/7p/1PP1P3/6bP/4B1P1/4R1K1 b - - 0 29,c8d7,536,330,qs,w,1,mid,0,b
r4r2/p1kb2pp/1p3p2/8/1p3P2/3RPNP1/PN2K2P/2R5 b - - 1 24,c7d8,431,,qs,b,2,eeg,1,b
1k2r3/pp6/6R1/2n2p1p/qpP2P1P/2b1PB1K/5Q2/1RBr4 b - - 4 38,c5d3,-418,-320,ks,w,1,mid,1,b
1R6/r3b1nk/r3p3/2P1Nppp/p2P2P1/P3BP1P/8/3K1R2 b - - 3 49,a7a8,325,307,ks,b,1,mid,1,b
8/3r4/3nk1p1/1p1b1p1p/3R1P1P/3BP1P1/3K4/8 b - - 2 49,d5c4,-527,-518,ks,w,1,eeg,0,b
1r6/p4pk1/1bB1p1p1/p3P2p/5P1P/P5P1/2R1K3/8 w - - 0 40,a3a4,-15,-20,qs,b,1,eeg,1,w
4k3/1p2pp2/1P3b1p/3r1Pp1/1R1N2P1/3K3P/PB3P2/8 b - - 0 43,e7e5,496,355,qs,w,1,eeg,1,b
3r2kr/p7/1ppb2pp/5p2/3P1B1P/5KP1/PP2N3/2R4R b - - 3 24,d6f4,429,434,ks,b,1,eeg,0,b
2k4r/pp1r1pp1/2pbpn1p/q5N1/2BP1n1P/1QP1B3/PP3PP1/2KR3R w - - 0 17,g2g3,-78,-1,qs,w,1,mid,0,w
1k6/p7/1p1p4/3B2p1/2P2bN1/PK1p1P1r/1P1R3P/8 w - - 2 35,d2d3,464,416,ks,w,1,eeg,1,w
6k1/1p3pp1/2p5/p5P1/3Pr3/4n1K1/PP6/R7 b - - 2 34,e3f5,-594,-462,ks,b,1,leg,0,b
r4Rk1/3p3p/1p2p3/pNbnp1p1/3N4/3P4/PP1B2PP/4R1K1 b - - 0 23,a8f8,200,,ks,b,2,eeg,0,b
2r5/5p2/4kn2/p2p3p/Pr6/1P2PP2/2PR1PKP/3R4 b - - 3 28,c8c3,-254,-181,ks,w,2,eeg,0,b
4r3/p1Br1kbp/2p1p1p1/5p2/P2P4/2P4P/1P1K2P1/4RR2 w - - 4 32,c7e5,-127,-6,qs,w,2,eeg,1,w
1r6/3R1k2/5b2/1p2pp1p/1p2r3/1R1N2P1/1P3P2/5K2 b - - 2 39,f7g6,-14,,qs,b,1,eeg,1,b
5k2/5p1p/1p4p1/8/2P1B3/3PK1P1/7P/1r6 b - - 1 35,f7f5,-384,-383,ks,b,1,leg,0,b
r1r3k1/2p2pb1/1pnp3p/p2N4/4PBbq/3B4/PPPQ2PP/1K2RR2 w - - 3 21,h2h3,350,252,qs,b,1,mid,0,w
r1b3k1/1p2r1bp/3pP1p1/p1p2pP1/P1P4P/7R/1P1NPPB1/n1BKN3 b - - 3 19,g7d4,162,-45,qs,b,1,mid,0,b
8/2k2p2/4p3/1P1p1p2/3P1P1p/5KP1/r7/8 w - - 0 47,g3h4,-1060,-571,ks,b,2,leg,0,w
5k2/8/2np2p1/2pB2B1/7P/p6P/P5K1/1r6 b - - 11 62,c6e7,-462,-375,ks,w,1,leg,0,b
2k4r/pp3p1p/5p2/8/4Pq2/bP6/2K2P1P/3R1B1R w - - 0 25,f1d3,-675,-364,qs,b,1,mid,0,w
1rr2k2/5p1p/6p1/p1pB4/1p1nPP1P/P2P2P1/4NK2/1RR5 b - - 1 30,f8e7,439,423,qs,b,1,eeg,1,b
3Q4/5k1p/3p4/2n1Pp2/3p4/3P1qPP/2B5/2K5 b - - 2 50,f3e3,-58,-26,qs,b,1,eeg,0,b
2kr3r/ppp2ppp/2n3b1/4P3/1b3B2/1Pn3P1/1P1NPPBP/R3K2R w KQ - 0 16,b2c3,-87,-171,ks,w,2,mid,1,w
r5k1/1b1p1n2/8/p1Np2p1/PpPB4/1P3P2/6PP/1R4K1 b - - 2 41,f7d8,239,266,ks,w,2,eeg,0,b
8/p1r5/1p2kp2/5p1p/P2R4/2P1P1P1/5PKP/8 w - - 2 35,d4h4,175,175,ks,w,1,leg,0,w
1r2N1k1/p4ppp/1pQ5/8/3Pp3/P3P1qP/PB6/2RK1b1n b - - 2 24,g3e3,-694,-394,ks,b,2,mid,1,b
8/8/6p1/5b1p/3R3P/3PK2k/8/8 b - - 7 57,h3g3,381,219,ks,b,1,leg,0,b
8/5pkp/2q5/1p4pP/p5r1/P1PQ4/1PK5/5N2 b - - 2 50,c6e4,-563,-477,qs,w,1,eeg,1,b
8/4bk2/1p3n2/1Np4p/2P4P/1PP2p2/P1K5/6n1 w - - 0 46,b3b4,-842,-536,qs,w,2,leg,1,w
2k4r/2n2p1p/1p4p1/p3r3/P1R1P3/2P5/1P5P/2K4R w - - 0 29,h1f1,-447,-315,qs,w,1,eeg,0,w
1r3rk1/Qp2ppbp/3p2p1/1Np2PN1/2n5/P1Pq3P/3B1PB1/2KR3R b - - 0 19,c4d2,-61,12,qs,b,1,mid,0,b
Q1b1kb1r/p1qnpppp/1p1p4/8/1BP5/3BP2P/P4PP1/nN1K2NR w k - 4 13,g1f3,233,114,qs,b,1,mid,0,w
3k4/3n4/1p4p1/1Np2r1p/pr6/2B2PP1/6P1/2R3K1 w - - 5 47,g3g4,-490,-333,ks,w,1,eeg,1,w
3R4/2r2p1k/1p2pnp1/p6p/P1P3P1/5P1P/2R1K3/8 b - - 6 34,g6g5,148,186,ks,b,1,eeg,0,b
5rk1/p1np2b1/6pp/2p2p2/2P4P/P3P1P1/2nRNP2/5K2 w - - 0 30,d2c2,-436,-640,qs,b,1,eeg,1,w
5k2/1b3p2/p1p3rr/PpPp4/1P4P1/3R1P2/4N3/R5K1 w - - 3 34,d3e3,172,173,ks,w,1,eeg,0,w
5k2/8/1p4pp/5p2/2B2P2/5K2/PP4PP/8 b - - 2 37,g6g5,670,508,qs,w,1,leg,1,b
8/4kp2/Q7/pr2b1P1/2r5/4P3/5P2/5K2 b - - 2 45,b5b1,-228,-270,ks,w,2,eeg,0,b
6k1/6p1/2p1np2/2P2r1p/pB1p1P1P/P1PP1PK1/1R6/8 b - - 0 41,g8f7,-139,-101,qs,w,1,eeg,1,b
2R5/7p/R5k1/1p3p2/6P1/8/1r2PP2/6K1 b - - 0 40,g6g5,545,,ks,w,1,eeg,0,b
5k2/8/3pBBp1/4n3/2p4P/p5KP/P2r4/8 b - - 3 67,d2a2,-607,-423,ks,w,1,leg,0,b
1B2k1n1/5p2/pq5r/1p2P2p/1b6/1N1R1P1B/1P5P/1K5R w - - 3 28,h1c1,73,-35,qs,b,1,mid,0,w
5rk1/p3b1p1/1p5p/4p2P/4N1p1/1PP1P3/P1K5/6R1 w - - 3 45,g1g4,-58,-45,qs,w,1,eeg,1,w
R7/8/4p1p1/4Pk1p/3P1PrP/8/8/2K5 b - - 0 47,f5f4,-199,-49,qs,w,1,leg,1,b
8/2k1Bp1p/6pb/1N1p4/2bP1P2/2P1P2P/r5P1/1R5K b - - 2 33,c7d7,12,,qs,w,1,eeg,0,b
r3k3/4pp1p/p1q3r1/3pn1p1/3B4/2P2P2/P2N2PP/1QKR4 w q - 0 24,d4e5,-34,-263,ks,b,1,mid,1,w
8/3nkNp1/7p/4p2P/8/4K3/B4P2/8 w - - 1 42,e3e4,281,245,ks,b,1,leg,0,w
2B5/6p1/3b1p1p/B2pk3/7P/4P1P1/n2K1P2/8 w - - 6 42,d2e2,23,55,qs,b,1,leg,0,w
8/1R3pb1/4k3/8/4PPp1/6P1/8/6K1 w - - 1 49,b7b6,457,472,ks,w,1,leg,0,w
r2k2r1/1p1b1pqn/2pB3p/p1P3pP/2BQP3/P7/1P3PP1/4RK1R w - - 1 27,d6e5,504,455,ks,w,1,mid,1,w
4r3/pppkn3/5B1p/8/8/PPpR4/6PP/2K5 b - - 2 33,d7e6,4,,ks,w,1,eeg,1,b
5k2/5Pp1/1p3n1p/p1b2N2/P1B2P2/6PP/6K1/8 w - - 1 42,g2f3,176,127,qs,b,1,leg,1,w
5k2/p6p/1p1R4/2n1p3/2P1P1P1/P3KP1P/8/5B2 w - - 11 43,d6d5,804,608,ks,w,2,leg,0,w
1k5r/p7/1p3Rpp/3Q4/P1P5/2q3P1/2P4P/6K1 w - - 4 34,f6f7,351,224,qs,w,1,mid,0,w
8/8/p6p/1p3pp1/kP3rP1/P2R2KP/8/8 b - - 2 63,f5g4,-423,-187,ks,b,1,leg,0,b
3k4/3nbR2/r2p2p1/p1pP2P1/Np3P2/1P6/PP3B2/1K6 w - - 1 33,f7g7,349,219,ks,w,1,eeg,1,w
8/2p1kpp1/p7/N2n3p/P6P/1r3PP1/1P2P1K1/2B5 b - - 0 28,b3b6,-209,-179,ks,w,1,leg,0,b
1nkrnb1r/p4p1b/2p1p2p/4q1p1/2PN4/P2PB1NP/1Q2BPP1/R1R3K1 w - - 0 22,a1b1,417,326,qs,w,1,mid,0,w
8/5p1p/8/2p2P2/1kp2P2/1p3r2/4R2P/1K6 w - - 5 43,e2e4,-764,-506,ks,w,1,leg,1,w
2r1k2r/p4q2/1p1ppnp1/n1p1p1Bp/P1Q1P3/2PP1PN1/1P4P1/2K1R2R w k - 2 20,c4b5,-50,-40,ks,b,1,mid,1,w
r2k4/1b4r1/2pbQ3/p5p1/Pp1P4/6P1/1PP2P1P/4R1K1 b - - 3 26,d8c7,176,184,ks,w,2,mid,1,b
4k3/pp4pp/8/8/8/8/PP3PPP/4K3 w - - 0 1,e1e2,343,361,ks,w,1,leg,0,w
4k3/pp4pp/8/8/8/8/PP3PPP/4KB1N w - - 0 1,f1d3,786,605,ks,w,1,leg,0,w
r3k2r/pp4pp/2n2n2/8/8/2N2N2/PP3PPP/R3K2R w KQkq - 0 1,e1g1,147,145,ks,w,1,mid,0,w
4k3/1p4pp/8/8/8/8/P4PPP/4K3 w - - 0 1,e1e2,370,283,ks,w,1,leg,0,w
