fen_start,sf_best,sf_cp,sf_static,cat,dist,stm
8/3r2k1/p4R2/8/2PpbR2/3r4/P1K5/2B5 b - - 4 49,d7e7,-35,-6,other,3,b
4r1k1/4Q1P1/1p2b1q1/1P2R2p/8/P5P1/4PP2/6K1 w - - 2 42,e7b4,24,28,other,1,w
8/R6p/3k4/8/3B2P1/2P5/p5KP/r7 w - - 2 49,a7a5,541,366,other,1,w
8/8/3bk3/8/6N1/3R1p2/5K2/8 w - - 16 67,f2f3,317,236,other,2,w
6k1/8/1p2r2p/1P5R/5pPp/1PB2K2/2P5/8 w - - 4 49,c3d2,667,420,other,3,w
5k2/5P2/8/p5pp/5b1P/2P5/P1Kr2P1/4RR2 w - - 3 37,c2b1,550,,other,1,w
8/8/8/8/5k2/2N3p1/6K1/8 w - - 4 83,c3d1,0,-4,other,2,w
7r/p7/1p1k4/2pPr2p/P1R4P/6K1/8/3R4 w - - 0 33,c4f4,-377,-358,other,3,w
8/4n3/4k1p1/3pP2p/P7/3RK1PP/r7/4R3 w - - 2 40,d3b3,233,243,other,3,w
1r2k3/pp1n4/5p2/2P3p1/P1PPp2r/8/2P1R1pP/2B1R1K1 b - - 1 24,e8f7,222,97,other,1,b
2r1k3/5pbp/4p3/1N1p1p2/1Pr1nP2/R1P1P1P1/1B5P/2R3K1 w - - 16 31,g1f1,-5,-10,other,4,w
r7/6k1/4p1B1/8/2P3P1/P4R2/7p/7K w - - 3 60,g6c2,492,380,other,1,w
8/8/8/5n1p/4k1p1/6r1/8/2R4K w - - 0 62,h1h2,-667,-430,other,3,w
8/8/4K3/p6p/k6P/8/8/8 w - - 0 54,e6f5,-932,-196,other,4,w
2Q1n1k1/pp6/6p1/3N3p/3Pr1n1/1P6/P2K3b/8 w - - 1 36,d2d3,-235,-183,other,4,w
8/6k1/4p1P1/4P1K1/4P3/8/7R/6r1 w - - 21 97,g5f4,9,,other,2,w
8/3n1rk1/2QP3p/q3p1p1/8/8/4RP2/4R1K1 w - - 0 48,c6c4,62,107,minor,2,w
8/2k5/6p1/1p3p1p/1N5P/5nPK/3r4/7R w - - 6 58,g3g4,-451,-304,minor,4,w
8/8/1p3r2/p2p1k2/P4p2/1P2rN2/2K2R2/8 w - - 12 60,c2d2,-541,-472,minor,3,w
7r/pp6/b1P1k3/R7/4pP1p/P3N2P/7K/8 b - - 4 44,h8c8,13,69,minor,3,b
1r1q1rk1/pp1b1p2/3P1pnp/1PP1p3/1Q6/P5PP/3N1PB1/2R2RK1 w - - 5 27,a3a4,382,468,minor,2,w
4rk1r/3n1pp1/3R3p/pp1n4/3Pp3/7N/PP1N1PPP/4K2R b K - 1 22,d7b6,-91,-21,minor,4,b
6k1/5n2/1B2KP2/RP6/P7/5r2/8/8 b - - 1 65,f7g5,453,402,minor,2,b
2r1kbr1/2nbp2p/5p2/pp1P2p1/2pN3P/P1N1P3/5PP1/1RB1KB1R w K - 1 20,h4g5,389,460,minor,3,w
1r1rq3/p3kp2/1p1b2p1/n1pPp1P1/2P1NP2/1P5Q/P5BP/R3R1K1 b - - 0 29,e8h8,503,402,minor,3,b
8/8/3k4/6Kp/5P1P/6p1/6B1/8 w - - 3 67,f4f5,1373,408,minor,2,w
8/1p3r2/2n1k3/pR3p1p/3p1B1P/P2P4/1PK5/8 w - - 12 47,c2d1,0,-12,minor,4,w
1Q5R/4k3/8/1r5p/3r1p2/3p1K2/3B1P2/8 b - - 0 57,b5b8,342,156,minor,2,b
8/2n1k1b1/2P1p3/p2p4/3NnP1p/P2KP2P/1P6/2RB4 w - - 1 41,d3e2,444,505,minor,2,w
6r1/3k1N2/4pBp1/pp1pP2p/bb1p1P1P/R2B2P1/4K3/8 w - - 3 36,a3a1,28,62,minor,3,w
r3k1r1/3bn3/1p1p4/1p1Ppp1n/4p2p/PB2N1P1/1P2N2P/R3RK2 w q - 4 33,f1f2,-376,-372,minor,3,w
r3kb1r/p3qpp1/2n1bn1p/1pPp4/3B1N2/2P3P1/PP2QPBP/RN2K2R b KQkq - 5 12,c6d4,271,266,minor,3,b
5rk1/pp1b4/3P1n2/1P2p2p/2r4P/P1N1p1PR/1P2KbB1/7R w - - 0 35,g2b7,-616,-452,minor,2,w
3b4/3P4/5k2/1p5K/7P/P2R2P1/8/8 w - - 1 66,d3e3,725,702,minor,1,w
3rr1k1/pp1n1ppp/3P3b/2p5/2B2P2/6P1/PP5P/R4R1K w - - 1 20,b2b4,-384,-283,minor,2,w
5rk1/5ppp/p6q/4P3/PbpBP2P/2Nn1RP1/1r6/3Q1RK1 b - - 0 31,b2d2,-313,-180,minor,3,b
2b3k1/7p/3bpnp1/3pN3/rp1P1P2/1Nq1P3/4BP2/1Q2K2R w K - 4 30,e1f1,-260,,minor,3,w
1b3k1r/1b4q1/rP3p2/3BpP2/2Np4/3P2P1/2R4P/3Q1RK1 w - - 6 37,d1f3,381,307,minor,2,w
1r2k2r/p3p1n1/2qp1nPp/2p1bp2/1PP4R/P1NP1PP1/2QNPB2/R4K2 b - - 0 26,h8g8,237,192,minor,2,b
r4rk1/1p5p/b3pp2/4B3/P2N4/1p2P2P/1N2nP2/R3KR2 b Q - 1 26,e2d4,-73,-60,minor,2,b
1r6/3b4/1k2pRr1/ppR3p1/2Pp2PN/1P1B3P/P7/6K1 b - - 0 42,g6f6,-199,177,minor,3,b
6rr/1k6/4R2b/1p5p/p2P1p1P/P2K4/1P3Rp1/6N1 b - - 3 42,g8g3,-294,-153,minor,1,b
r6r/4bkp1/2n1n2p/ppP1p3/1P2N3/P3P3/5PPP/1RBR1K2 w - - 4 24,b4a5,-237,-206,minor,3,w
b2rr1k1/5p2/1p3b2/pPpp1q1p/5N2/1P1RPPPp/5Q1B/2R3K1 b - - 13 34,a8b7,-364,-371,minor,2,b
3r1r2/b3k1pp/p3pn2/8/2p1NP1P/P1NnP1P1/3B4/R4K1R w - - 0 25,f1e2,-2,-49,minor,3,w
3rk2r/pp2ppb1/6p1/q1pP1P1p/2p5/2N1QNPP/Pn3P2/R2K1B1R w k - 0 20,d1e2,-362,,minor,3,w
2Qqk2r/1p3p2/2pp2p1/2N5/4rb2/p2R4/B5PP/3R2K1 w k - 2 32,c8d8,465,196,minor,2,w
r3k2r/1R2ppbp/n1p3p1/P2p4/3P1B2/2n1PN1P/3N1PP1/4K2R b Kkq - 0 16,c6c5,14,23,minor,3,b
r2qk2r/pp2bppp/4b3/1Pp5/2NnP3/P1BQ4/5PPP/1R2KB1R w Kkq - 1 15,c3a1,-91,-46,minor,4,w
8/4ppk1/p5p1/2p1P2r/2Nb4/R5P1/8/3K4 w - - 3 34,e5e6,-425,-405,minor,4,w
1R3b1r/7p/p3k1p1/P2n1p2/2NP1P1P/4P3/4KP2/8 w - - 13 40,b8a8,48,-2,minor,4,w
3qrr1k/1p4p1/p1p1b3/P2pPpNp/3Q4/1P5P/5PP1/2R1R1K1 w - - 3 34,d4h4,69,107,minor,3,w
r1bqk1nr/pp2n3/2pp1b1p/3P1p2/2P1p1Pp/P1N1B2N/1PQ1PP2/R3KB1R b KQkq - 0 13,f5g4,-72,67,minor,3,b
2b1k3/3r1p2/p2b2p1/2pP3p/2N1PP1n/PP6/3B1R2/1K6 b - - 1 44,d6e7,-333,-297,minor,3,b
5rk1/7p/pp1b2p1/2pP4/2P5/1B4P1/PP4K1/5R2 b - - 0 30,f8f1,-211,-23,minor,3,b
2r5/1p4k1/8/4p2R/Pb2N3/6P1/1Rn2K1P/3r4 w - - 2 40,h5g5,-150,-196,minor,4,w
r1r3k1/2nnbp1p/2q1p1pQ/p1p1P3/2N1PP2/P3B1PB/7P/2RR2K1 w - - 1 23,f4f5,240,150,minor,4,w
r3k2r/2qn1pp1/p2b1n2/3b1P2/p2PN2p/1pP5/1B2N1PP/RB2QRK1 b kq - 0 20,d6h2,-357,-241,minor,2,b
2r2rk1/p5bp/1pq1b1p1/2p1PpB1/2P4N/3P2P1/PP2Q2P/2KRR3 w - - 2 21,h4g2,45,60,minor,3,w
3R4/8/8/3pk3/5p2/3KbB2/2r5/8 b - - 15 67,c2d2,-75,-50,minor,3,b
4r1k1/5ppp/8/q1n1p3/2Pp2BP/1p1P1PP1/rP6/1QKR3R w - - 1 32,g4f5,-775,-538,minor,4,w
2r2rk1/1RNn1p1p/3P2p1/p1P2b2/8/1B3P2/P5PP/2R3K1 b - - 2 25,d7e5,468,464,minor,2,b
1R2nk1r/n7/P4R2/8/2P1B1p1/6Pp/7P/6K1 b - - 0 48,f8e7,711,,minor,2,b
r3r1k1/3q3p/pp1b2p1/2pP4/2P5/1B3Qp1/PP5P/R3R1K1 w - - 0 26,e1e8,-242,-161,minor,3,w
5k1r/pp2n3/4q3/3n2p1/3P1pbp/1BPQ4/P1PB2PP/5KR1 w - - 0 26,f1f2,-360,-376,minor,4,w
5R2/8/8/4k3/8/8/3K3p/6rN w - - 4 96,h1f2,0,3,minor,1,w
r2qk2r/3n1pp1/bp1b4/p2p3p/P2Pn3/1P1pP1PP/RB1N1P2/1Q2NK1R w kq - 4 17,e1f3,-635,-638,minor,2,w
8/7p/8/2k1bp1P/pr2p1p1/4P1P1/1p1K1P2/1N1R4 b - - 0 65,b4c4,-808,-544,minor,1,b
4qk2/5prp/5b2/2P5/P6P/2P1pQ2/1r2N1P1/R2R2K1 w - - 1 29,a1b1,208,246,minor,2,w
1n2k1nr/r2b1ppp/1ppPq3/pB1Q4/8/1NP3PP/PP3P2/R3R1K1 w k - 0 21,d5g5,549,262,minor,2,w
7Q/8/8/1p1p3r/1P2k3/3p4/3B4/4K3 b - - 0 57,h5h8,-1295,265,minor,2,b
2rr2k1/5pp1/1p2bq1p/p7/Q3P3/2Np3P/PP1B1PP1/5RK1 b - - 0 28,c8c4,-320,-368,minor,2,b
r3r1k1/1p2qp1p/p2b2p1/2pP1b2/P3n3/1BN1BQ1P/1P3PP1/R3R1K1 b - - 0 18,e7e5,-221,-3,minor,3,b
3b4/2nP4/P3k1p1/5p1p/2NR4/5P1P/3K2P1/8 w - - 1 56,a6a7,686,586,minor,1,w
1r6/6Q1/p2kp3/2p5/8/1p6/1B4KP/4q3 b - - 3 34,e1e2,-616,-468,minor,2,b
r3k1nr/pb1p1ppp/1p1qpb2/1P6/2PpP3/P2B2P1/1B1N1P1P/R2Q1RK1 w kq - 2 14,a3a4,72,12,minor,3,w
1k1rr3/1pq2p2/5n2/1p5p/1Pbp4/3B1P1P/2QB3N/2R4K b - - 7 36,f6d5,-441,-361,minor,3,b
8/8/7p/2n3kP/p1P1B3/K4P1P/P7/8 w - - 1 55,a3b4,598,427,minor,4,w
7r/8/2b1k3/1pPpPp2/1P3P2/4K1P1/1P5P/3R4 w - - 5 53,h2h4,39,29,minor,3,w
3k4/8/r7/P3RR1P/5P2/6K1/8/r7 w - - 9 64,f5f8,531,457,major,3,w
r4rk1/ppBn3p/2b3p1/3q1pb1/2QPp3/PP6/3N1PPP/1R1RN1K1 b - - 3 25,a8c8,-220,-169,major,4,b
2r3k1/4R3/2r5/n1P5/5R2/5PP1/7P/6K1 w - - 7 59,f4f7,39,32,major,3,w
2r3k1/2P2ppp/b3p3/Pq1p4/1b1Pn3/1P2PN2/1B1N1PPP/3QK1R1 w - - 3 19,b2a3,-725,-286,major,1,w
3rr1k1/p2q1pp1/n2P3p/1pNB2b1/6P1/PPBbP3/5P1P/3RK1R1 w - - 0 31,c5d7,296,-332,major,2,w
1r6/2r5/2P1pkp1/p2p1p1p/8/PP2P3/1R3PPP/2R3K1 w - - 1 31,b3b4,58,61,major,2,w
8/1b6/p2k2p1/5n1p/5P2/PP2p3/1K2R3/8 b - - 1 54,b7f3,-622,-523,major,2,b
2r2k2/1b6/pn2p1r1/3p1pP1/3P3p/2P1R2P/1qB2QPB/5K1R b - - 11 33,b6c4,91,23,major,3,b
8/8/8/2b5/2k5/4PK2/1pr2P2/1R6 b - - 1 57,c5d6,-491,-460,major,1,b
5k2/Np1r1p2/3N1np1/3PB1b1/2P5/1P1n3r/P7/3R2K1 b - - 3 32,d3e5,-691,-467,major,3,b
1k3r2/p3N3/5b1r/1Pp2B2/2P2P2/4PP2/8/1R1R2K1 w - - 2 47,e7c6,591,531,major,4,w
8/7p/1k4pP/2r2pP1/3K1P2/2r5/2p1B3/2R5 b - - 2 55,c5c7,-513,-411,major,1,b
4k1r1/p1r2p2/1p2p3/3p3p/3R3P/PPqQ2P1/5P2/5RK1 w - - 0 28,d3b5,-96,-102,major,4,w
5rk1/3q1p2/3P4/p3pb2/1r4p1/2Q3P1/PP5R/2K2R1B w - - 0 36,h1c6,33,126,major,2,w
7k/3Q2b1/3p1r1p/2p1pPp1/P5P1/3P4/3B3P/6K1 w - - 3 43,g1f1,636,497,major,3,w
rn2r1k1/4q1b1/2p1Pp2/p2p1P1p/R2Q2p1/2N3P1/1PP1BBP1/3R2K1 b - - 0 25,b8a6,524,537,major,2,b
8/5pk1/4p1p1/p1r1P2p/R4P2/3PK1PP/8/8 w - - 2 40,a4c4,0,6,major,4,w
1k2r3/1pqn4/2p5/p3bpr1/P1Pp2Pp/B2Q3P/5PB1/1R1R2K1 w - - 0 28,a3c1,-93,-36,major,3,w
k7/p2bnp2/3p1n2/2pPp2p/1qP1P2R/1P1BNPr1/Q4K2/1R6 b - - 1 39,g3g8,179,154,major,4,b
6k1/1p4p1/5p1p/1pb5/3pP3/3n2PP/PP1R4/7K b - - 1 36,d3e5,-477,-288,major,3,b
8/8/4Kb2/8/4Pk1p/5P1R/8/8 b - - 6 51,f6b2,440,227,major,3,b
2k5/1p2b3/p3p3/3p4/P2R1P2/1P2NK2/8/4r3 w - - 2 59,d4d1,-199,-192,major,4,w
1r2r2k/4P1p1/3p4/3Q4/pP2R2p/P3B1nP/5qPK/7R b - - 3 42,f2f6,542,205,major,1,b
r1r4k/P3R3/5p2/5Np1/8/1K2P1Bn/PP6/8 w - - 2 29,e7b7,424,297,major,1,w
4r3/3q1p1k/1R1b4/3Q1Pp1/3P4/6P1/P6P/6K1 b - - 0 45,e8e1,-247,-122,major,4,b
r3k1r1/P2bn1P1/1p2qn1R/2pp1p2/5P2/P1P1PB2/2Q3P1/R1B1K1N1 b Qq - 0 21,e6f7,189,59,major,1,b
5k2/5p1p/1p1r4/p2p4/P3rP1P/4p1P1/4R1K1/2R5 w - - 0 43,c1c8,-362,-323,major,2,w
8/8/4kr2/p1pp4/3r1PK1/1P3R2/P4P1p/7R b - - 1 44,f6g6,-324,-175,major,1,b
1krr4/3q4/1p1P2p1/pPp1pnNp/P1P1N1nP/3P1QP1/8/1R3R1K w - - 5 36,f3e2,9,29,major,2,w
8/4k3/p1p1p3/2P1P3/PP1K4/2B3r1/4r2p/7R b - - 1 49,g3g1,-701,-593,major,1,b
6r1/1p2k1P1/p3p3/P1p1K3/2P4p/4r3/8/1R4R1 w - - 7 58,e5f4,-27,,major,1,w
1k6/3r4/1B1P4/pn1R1p2/5P2/5BP1/1r5P/5K2 w - - 0 44,d5f5,201,148,major,2,w
3r2k1/3b2pp/2p5/3p4/r2qp3/PQ6/4BPPP/R2R2K1 b - - 3 26,d4a7,-176,-142,major,4,b
1k1r4/1p2Q3/p6p/1qN5/7P/5b2/1K1p4/3R4 w - - 0 49,c5b3,-705,,major,1,w
8/r7/P7/5p2/3p1b1p/4kP2/R3P1K1/8 b - - 32 78,h4h3,-681,-361,major,2,b
3k1br1/1R3p1p/p2n2p1/3p4/2bB4/5N2/P1P3Kp/7R w - - 2 27,d4b6,141,82,major,1,w
4k2r/2r4q/1Qbbpp2/3p4/1p1P2pp/1Pp1B1P1/2R1PPBP/2R2K2 b k - 1 31,h7d7,-347,-321,major,2,b
r4bk1/Ppr4p/2qNQ1p1/R1P2p2/8/2P2PPb/7P/4R1K1 b - - 16 33,g8h8,0,,major,1,b
1r6/kPR3p1/1p1N1p2/2n4p/p6P/8/7K/8 w - - 0 53,c7g7,-419,-269,major,1,w
6r1/qpQ5/4kn2/p2pN2p/8/P6P/1P2PpK1/R4R2 w - - 1 31,g2h1,429,,major,1,w
r1b2k1r/pp3pp1/1qn4p/2N1p3/2P5/P2PpNPP/1B2QnB1/R4RK1 b - - 0 17,b6c5,-25,94,major,2,b
8/5pk1/3r1p2/bp6/3pPP2/3R2PP/1P2B1K1/8 b - - 3 41,d6c6,233,228,major,3,b
8/2r2p2/4pN2/4k3/8/ppp1P1P1/R7/1K6 w - - 0 52,f6g4,-1358,-344,major,2,w
8/r7/P4k2/R4p2/3p3p/5PbK/4P3/8 b - - 8 66,f6g5,-419,-422,major,2,b
2NRnk1r/5pp1/2q1p2p/2P1P3/pp6/6Pb/PP3Q2/R1B3K1 b - - 4 27,f7f6,510,243,major,3,b
8/5pp1/1k2p3/4P3/rpP2PPp/1R1K3P/8/8 b - - 1 39,b6c5,-377,-77,major,3,b
2r3k1/p4pbp/6p1/P2Br3/qPPp4/3Q3P/5P2/1R1R2K1 w - - 3 33,g1f1,6,60,major,3,w
3r1r2/2k2P2/4R2p/1P6/3p2n1/1R6/3N1P2/5K2 b - - 2 40,f8f7,8,175,major,1,b
r1bq1k1r/1pp1p2p/2np2pb/p7/2PPB1nP/3Q1N2/PP3pPB/R2N1R1K b - - 7 15,f8g7,-45,-16,major,1,b
4rb1k/3q4/4r2p/4P1p1/p2P4/P2QP2P/6P1/3R1RK1 b - - 3 36,f8g7,-14,11,major,3,b
r1br2k1/p4p1p/1p2pbp1/3n4/P2P4/2pQ2P1/2R2PBP/1R4K1 b - - 1 24,c8b7,2,-36,major,2,b
1r1r2k1/3P1pp1/7p/2q5/1p4Q1/5PPP/2B5/1R5K b - - 2 38,c5c2,-666,-339,major,1,b
r2qr1k1/4bppp/p4n2/2p1Bb2/2Q5/P1N2NP1/4PP1P/R3K2R b KQ - 1 17,f6d7,-149,-168,major,4,b
r4k1r/5p2/1n1N2pp/3np3/2p5/4PP1P/p1B2P1K/R6R w - - 3 29,c2e4,-341,-301,major,1,w
2r5/p1P2pkp/1p4p1/1nnpP3/6N1/P1R3PP/6K1/4R3 w - - 6 32,c3f3,-8,-52,major,1,w
2r1b3/1Nk5/p1P1R1p1/1r3p1p/5P1P/2R2PK1/8/8 b - - 2 46,c7b6,172,106,major,2,b
2kr1b2/pp1n2p1/2p2r2/3q1pNp/3P3P/2B1PpP1/PP3Q2/R4RK1 b - - 2 18,g7g6,-101,-54,major,2,b
r1n5/Ppk2p2/6p1/3p3p/1R1N4/2P2PP1/5K1P/8 w - - 1 41,g3g4,0,-4,major,1,w
5r1k/p2r3p/1ppP2p1/4Pp2/3P4/1PBB2q1/P1KN2b1/R7 w - - 0 38,a1g1,-489,-332,major,2,w
6k1/7p/p2r1b2/P2p4/1p1P2p1/1P4P1/2rpN2P/R2R2K1 b - - 2 39,f6g5,-516,-322,major,1,b
8/5pk1/1b1r1p2/8/1p1pPP2/3R1KPP/1P2B3/8 w - - 2 43,d3d1,242,301,major,3,w
4r1k1/1p2P3/1prp1ppp/5P2/8/2P1R1P1/P6P/3R2K1 b - - 0 25,g6f5,-23,18,major,1,b
1r1q1rk1/1P3ppp/2p1p3/p2pbb2/1n1Pn3/N3P3/PP1BBPPP/2RQK2R w K - 0 15,d4e5,-180,-263,major,1,w
6k1/6p1/5p2/7r/P7/4P1K1/7p/7Q b - - 0 47,g8f7,154,80,major,1,b
8/2k5/8/1P6/P1P3r1/7p/2K3p1/6R1 w - - 0 52,b5b6,-691,-394,major,1,w
1r1k3r/1P1b1pp1/p2p1n2/2p1pP1p/1nP1P2P/3PB1P1/6B1/3QK2R w K - 0 24,e1g1,87,172,major,1,w
2r3k1/6pp/5p2/3R3P/br2P3/3N1PP1/1p6/1R4K1 b - - 0 38,c8c2,-199,-127,major,1,b
r1b2b1r/3nkppp/2qN4/p1Ppp3/P7/2B1P2P/1P2BPP1/R2Q1RK1 w - - 4 17,a1c1,556,461,major,3,w
7k/8/1r1p1b2/1PpP4/4Bp2/3P4/4KP2/1R6 b - - 1 43,h8g7,156,110,major,3,b
1k1r1r2/2n2PQ1/7p/1P2P3/1P3b2/8/P4P2/R4K2 w - - 1 34,b5b6,523,321,major,1,w
2r5/1bP1kp2/4p3/nN5p/6pP/P2BP3/5PPR/4K3 b - - 0 26,b7c6,90,106,major,1,b
2r2k2/1p5p/1R4p1/3P1b2/2B1P3/2N4r/p2K4/R7 w - - 1 37,b6b4,340,248,major,1,w
1rr3k1/p2b1ppp/3q4/1ppPp1b1/1P2P3/P3NPP1/3Q1N1P/R3R1K1 b - - 4 35,c5c4,-129,-83,major,3,b
r7/PR5p/R5p1/2P5/1P1k3b/5P2/6K1/8 b - - 0 67,h4g5,754,398,major,1,b
7k/pp3r2/5P2/8/r2nN1K1/P4P2/1P6/1RB5 b - - 2 40,h8g8,252,52,major,2,b
r3k2r/4bp2/p2pbnp1/1p5p/3pPB2/1PqQ1P2/P2NB1PP/1R2K2R b Kkq - 2 20,h5h4,-272,-177,major,3,b
2k5/6R1/2b1p2N/4P3/8/5rPP/p3K3/R7 b - - 2 37,f3a3,503,183,major,1,b
8/6pk/pp5p/8/2P5/4q3/PK5p/4Q2R b - - 5 41,e3d4,387,198,major,1,b
7r/1pbk1pp1/7p/8/PpN3PP/1R6/4P3/3K4 b - - 1 29,h6h5,-22,-91,major,3,b
3k4/8/r7/P3R1RP/5P2/6K1/7r/8 b - - 30 74,h2h1,481,410,major,3,b
8/8/3nk3/5r2/5PK1/2Q5/8/8 b - - 77 116,f5b5,0,-2,major,4,b
r4k2/1p4q1/1Q1p2Pp/p1p5/2P1Bpb1/8/Pb6/2R2K1R w - - 2 32,b6d6,452,26,major,2,w
4r3/4P3/R2b4/3k4/4P3/3K4/8/8 b - - 0 68,d5e5,-11,,major,1,b
6k1/r3b1p1/2q4p/1r1p3P/pP2p3/R1P4R/3N1PP1/1Q4K1 w - - 2 36,b1a2,-107,-121,major,3,w
8/8/8/4k3/8/5K2/7p/7R b - - 5 73,e5d5,464,463,major,1,b
3rr1k1/3q1pbp/1R1Pp3/1R3p2/5P2/3QB3/6PP/6K1 w - - 1 27,h2h3,104,70,major,2,w
r1r3k1/5pp1/p3pq1b/2R4p/2PPb3/Q4N1P/1B2NPP1/4K2R b K - 4 23,c8b8,241,218,major,4,b
2r5/pp2k2p/4pn2/5p2/8/2N3Pn/PP2BpbP/1K3R2 w - - 2 36,f1c1,-697,-543,major,1,w
8/5k2/8/5q2/8/4BB2/2p5/2R1K3 b - - 0 65,f5f3,-17,-5,major,1,b
r3r1k1/1p2Pp2/1p1pb1pp/4n3/2P5/2PB2P1/P2N1P1P/R3R1K1 w - - 1 19,d3f1,0,4,major,1,w
b5Qk/2q2r2/1p1N1P2/1pp1P3/3p4/P6P/5P2/1R1R2K1 b - - 0 48,h8g8,-396,,major,2,b
R7/5r2/2p2P2/2pkP3/3p4/P3nK2/4R3/8 w - - 3 56,a8e8,394,272,major,2,w
r5k1/P2b1r2/R2Bpb1p/2R2pP1/3Pp3/4P1P1/5PN1/3K4 b - - 0 46,h6g5,263,153,major,1,b
7q/R6P/3k4/5p2/pp5K/5P2/6P1/8 b - - 1 54,b4b3,-600,-401,major,1,b
6k1/6p1/4p2p/2q5/3pPrRP/3Q1P2/P7/K7 w - - 2 46,g4f4,-117,-112,major,3,w
r1n3k1/1N1r1pb1/2nP2pp/4pq2/1B6/1Q3NP1/3PPP1P/1R2K2R w K - 1 20,b7c5,-31,-19,major,2,w
1r2k3/1P2np1p/p2r4/q1p2b2/2P4P/P1P5/5PP1/R1Q1KBNR b KQ - 3 24,b8b7,-79,-84,major,1,b
3r4/2k5/p5p1/P1K1P3/2N5/3p2P1/3R4/8 b - - 1 49,g6g5,600,526,major,2,b
1r6/2k4p/r2p2p1/Pp1R1p2/1P6/7P/4NP2/3R2K1 w - - 5 37,e2d4,521,521,major,3,w
8/8/1B2p3/2p1P2k/2K3p1/r7/p6p/R7 w - - 0 70,b6c5,-703,-374,major,1,w
1r1q4/p2bn1pk/4p1pp/3pPr2/p1pP1NQP/2P2P2/R1PB2P1/3R1K2 w - - 8 33,d1a1,-31,-73,canon,3,w
8/p2bn1pk/4p1pp/q2pPr2/2pP1NQP/p1P2P2/1rPB2P1/R1R1K3 w - - 0 36,h4h5,-280,-174,canon,2,w
8/5pk1/8/3P1PP1/4R2P/1p6/2r5/7K w - - 1 47,h4h5,-306,13,canon,2,w
8/8/8/8/8/1k6/p7/1K6 w - - 0 1,b1a1,0,,canon,1,w
8/8/8/3k4/8/1N6/p7/1K6 w - - 0 1,b1a2,0,,canon,1,w
